TitleId;JobTitleName;N;TotalApplications;Mean;P50
669;Waiter;2173;141943;65;43
221;Cook;1857;82991;45;29
591;Receptionist;1632;188288;115;91
552;Chambermaid;1379;95245;69;40
243;Kitchen Assistant;793;45524;57;39
668;Waiter Assistant;674;35316;52;31
584;Hotel Receptionist;647;51561;80;55
494;Maintenance Technician;598;16558;28;23
561;Housekeeping Staff;523;37827;72;36
257;Chef de Partie;468;14409;31;22
572;Bellboy;413;19154;46;38
652;Head Waiter;380;12882;34;28
590;Reception Assistant;343;25014;73;47
226;Dishwasher;343;19603;57;38
218;Chef;338;13229;39;34
551;Assistant Executive Housekeeper;306;9156;30;23
254;Sous Chef;300;8726;29;23
580;Front Office Manager;280;13667;49;40
657;Bartender;257;10821;42;34
113;Travel Agent;255;11398;45;28
630;Assistant Head Waiter;235;4807;20;17
653;Host/Hostess;220;12746;58;36
589;Night Receptionist;209;13153;63;51
489;Maintenance Manager;204;4932;24;19
119;Reservation Agent;182;11976;66;53
587;Night Auditor;181;8103;45;39
177;GEX - Guest Experience Assistant;178;5591;31;24
661;Restaurant Manager;174;4048;23;19
557;Executive Housekeeper;171;5844;34;28
293;Sales Agent;153;4052;26;19
492;Maintenance Assistant;145;4295;30;24
286;Rental Sales Consultant;144;1989;14;11
664;Restaurant Section Head;142;2697;19;15
577;Concierge;141;7936;56;43
79;Hotel Director;136;9037;66;71
80;Hotel Manager;135;5845;43;28
550;Assistant Hotel Manager;132;5129;39;31
570;Assistant Head of Reception;132;6136;46;41
493;Maintenance Officer;127;2623;21;18
23;Administrative;118;5035;43;27
166;Customer Service Agent;115;2771;24;14
165;Customer Service Advisor;115;949;8;0
631;Assistant Restaurant Manager;111;2404;22;17
650;Food and Beverage Manager;109;3629;33;30
634;Bar Manager;105;2743;26;20
248;Pastry Chef;94;2048;22;18
10;Accounts Manager;93;515;6;0
593;Human Resources Intern;92;1080;12;10
6;Accounting Intern;90;396;4;0
181;GEX - Guest Experience Coordinator;88;3266;37;27
628;Assistant Bar Manager;85;2238;26;16
26;Administrative Assistant;83;4353;52;46
647;Food and Beverage Assistant;74;2093;28;20
301;Sales Intern;70;1104;16;14
124;Actor;69;914;13;0
159;Tourist Animator;69;4586;66;53
1;Accountant;68;879;13;11
665;Sommelier;68;1122;17;13
715;Spa Therapist;66;1824;28;22
486;Facilities Technician;64;989;15;13
697;Masseur;63;1674;27;24
302;Sales Manager;63;1285;20;18
503;Warehouse Stock Handler;61;2412;40;29
180;GEX - Guest Experience Manager;60;1879;31;27
89;Valet Parking;57;2581;45;35
130;Children's Animator;54;1806;33;25
8;Accounting Technician;53;670;13;11
2;Accounting Assistant;53;1039;20;16
597;Intern in Reception;51;1080;21;19
220;Commis Chef;50;1481;30;26
192;Call Center Agent;50;1690;34;25
498;Swimming Pool Maintenance;49;835;17;16
533;Marketing Intern;49;1046;21;18
316;Store Sales Assistant;49;2787;57;39
632;Bakery Attendant;46;1524;33;21
122;Activities Assistant;45;311;7;0
471;Tour Guide;44;1158;26;20
242;Sushiman;44;973;22;22
761;Technical Services Assistant;44;454;10;9
0;NULL;44;1121;25;12
267;Commercial Manager;43;841;20;21
228;Executive Chef;43;1462;34;29
564;Laundry Attendant;42;1471;35;22
436;Groups & Events Coordinator;42;1314;31;28
611;Human Resources Coordinator;41;733;18;16
45;Chief Executive Officer (CEO);40;1973;49;33
615;Human Resources Technician;39;769;20;14
300;Sales Host;39;968;25;19
637;Barista;39;1738;45;30
482;Electrical Maintenance Technician;38;555;15;14
600;Revenue Agent;37;637;17;13
438;Groups & Events Sales Manager;37;1076;29;28
167;Customer Service Assistant;37;1135;31;30
501;Technical Services Officer;37;746;20;19
636;Barback;36;997;28;19
337;Purchasing Intern;35;386;11;12
505;Car Washer;33;814;25;22
49;Revenue Manager;32;883;28;22
213;Event Chef;32;1540;48;42
473;Tourism Agent;32;1137;36;26
560;Cleaning Manager;31;829;27;19
251;Pizzaiolo;31;675;22;18
690;Holistic Therapist;31;504;16;15
43;Casino Staff;31;410;13;12
170;Customer Service Manager;30;37;1;0
346;Supply Department Manager;30;864;29;25
714;Spa Receptionist;29;1223;42;30
692;Lifesaver;29;937;32;26
713;Spa Manager;29;910;31;32
48;Operations Manager;28;1246;45;31
345;Supply Department Assistant;28;635;23;16
28;Administrative Intern;27;326;12;14
502;Technical Services Specialist;27;438;16;13
753;Head of Technical Services;26;409;16;16
483;Electrician;25;312;12;14
59;Business Development Director;25;586;23;18
725;Security Guard;25;197;8;5
313;Sales Assistant;25;650;26;21
487;Gardener;25;531;21;17
141;Entertainment Manager;24;993;41;42
530;Marketing Assistant;24;698;29;22
105;Business Travel Agent;24;1096;46;30
275;Marketing and Sales Manager;24;872;36;34
504;Painter;24;462;19;16
247;Pastry Assistant;24;478;20;18
-1;NULL;23;243;11;8
7;Accounting Manager;23;152;7;0
270;Group Sales Manager;23;578;25;19
273;Key Account Manager;22;309;14;12
518;Public Relations Director;22;459;21;22
50;Operations Specialist;22;366;17;15
120;Reservations Manager;22;674;31;29
125;Animation Assistant;22;1242;56;53
432;Events Sales Executive;20;499;25;28
613;Human Resources Manager;20;352;18;18
460;Airport Guide;20;84;4;0
32;Amusement Park Staff;20;395;20;18
376;Hospitality Consultant;20;477;24;16
396;Sommelier Consultant;20;315;16;9
142;Events Coordinator;19;599;32;26
182;Service Manager;19;175;9;3
114;Travel Coordinator;19;809;43;30
484;Facilities Manager;18;200;11;12
680;Body Treatment Specialist;18;482;27;22
266;Commercial and Marketing Manager;18;491;27;23
544;Social Media Manager;17;389;23;26
88;Office Manager;17;64;4;0
117;Travel guide;17;631;37;33
745;Software Developer;17;86;5;4
415;Conference & Events Trainee;17;311;18;15
485;Facilities Assistant;17;400;24;17
640;Cashier;17;625;37;30
711;Spa Assistant;17;487;29;22
198;Call Center Technician;17;132;8;6
778;Car Driver;17;452;27;18
55;Controller;17;462;27;27
642;Cocktail Bar Manager;16;428;27;25
250;Pastry Shop Manager;16;230;14;14
696;Massage Therapist;16;547;34;30
532;Marketing Director;16;449;28;28
171;Customer Service Specialist;16;269;17;9
654;Ice Cream Shop Attendant;16;825;52;26
271;Hotel Sales Manager;16;468;29;24
30;Administrative Technician;15;327;22;14
538;Public Relations Assistant;15;288;19;15
210;Assistant Baker;15;405;27;12
150;Multifunctional Animator;15;836;56;44
168;Customer Service Coordinator;15;267;18;9
479;Window Cleaner;15;218;15;9
323;Buyer;15;217;14;10
474;Tourist Information Guide;15;515;34;25
75;Head of Administration;15;373;25;21
358;Food and Beverage Consultant;15;118;8;7
127;Animation Manager;15;699;47;42
314;Salesperson Call Center;15;180;12;14
608;Human Resources Assistant;14;379;27;18
29;Administrative Manager;14;178;13;13
610;Human Resources Consultant;14;110;8;8
111;Travel Agencies Account Manager;14;307;22;22
567;Linen Keeper;14;275;20;14
437;Groups & Events Manager;14;558;40;32
755;IT Manager;14;189;14;15
490;Air Conditioning Maintenance Technician;13;146;11;9
335;Purchasing Coordinator;13;231;18;16
235;Grill Chef;13;517;40;32
47;Chief Operations Officer (COO);13;887;68;59
172;Customer Support Assistant;13;558;43;35
796;Rider;13;452;35;24
439;Groups and MICE Coordinator;13;175;13;8
201;Head of Quality;13;259;20;12
277;MICE Sales Manager;13;271;21;18
731;Pool Attendant;13;375;29;20
