IDCity;CityName;IDRegion;RegionName;N;TotalApplications;Mean;P50
882;Barcelona;8;Barcelona;2932;207707;71;52
4359;Madrid;28;Madrid;2340;160269;68;39
11470;Lisboa;132;Lisboa;1050;63216;60;36
837;Palma de Mallorca;7;Islas Baleares;756;54417;72;42
32641;Oporto;147;Porto;703;33764;48;31
815;Ibiza;7;Islas Baleares;569;24506;43;22
4526;Málaga;29;Málaga;558;33396;60;38
29812;València;46;Valencia;531;41672;78;47
4528;Marbella;29;Málaga;507;19055;38;28
5697;Adeje;38;Santa Cruz de Tenerife;498;10023;20;16
6155;Sevilla;41;Sevilla;443;32370;73;54
168;Benidorm;3;Alicante;432;17896;41;30
5735;Santa Cruz de Tenerife;38;Santa Cruz de Tenerife;346;10907;32;26
152;Alicante/Alacant;3;Alicante;289;15629;54;35
5272;Yaiza;35;Las Palmas;282;5847;21;19
29717;Las Palmas de Gran Canaria;35;Las Palmas;220;10537;48;31
5266;Tías;35;Las Palmas;204;3897;19;17
2749;Granada;18;Granada;183;10434;57;40
29815;Calviá;7;Islas Baleares;182;7806;43;31
30153;San Jorge de ses Salines;7;Islas Baleares;170;2758;16;11
7492;Bilbao;48;Vizcaya;149;7380;50;39
29681;Canillo;322;Canillo;148;6019;41;29
29690;Costa Adeje;38;Santa Cruz de Tenerife;147;4502;31;24
797;Alcúdia;7;Islas Baleares;145;5840;40;31
2543;Lloret de Mar;17;Girona;136;6006;44;34
29935;San Juan Bautista;7;Islas Baleares;134;2303;17;14
29694;Islas Baleares;7;Islas Baleares;125;6164;49;19
5702;Arona;38;Santa Cruz de Tenerife;121;2868;24;20
31458;Vila Nova de Gaia;387;Serzedo;113;1534;14;8
3162;Donostia/San Sebastián;20;Guipúzcoa;110;2663;24;14
6488;Salou;43;Tarragona;105;8128;77;67
851;Santa Eulària des Riu;7;Islas Baleares;103;5218;51;28
4549;Torremolinos;29;Málaga;100;6284;63;48
29805;Soldeu;322;Canillo;98;4291;44;32
29810;Ciudad de México;131;Ciudad de México;98;1931;20;17
1778;Cádiz;11;Cádiz;93;3317;36;25
2151;A Coruña;15;A Coruña;91;1735;19;10
30175;Fuerteventura;35;Las Palmas;86;2377;28;22
1782;Conil de la Frontera;11;Cádiz;85;1893;22;17
29784;Comporta;390;Comporta;84;1360;16;14
29985;Mallorca;419;Mallorca;83;3527;42;31
2067;Córdoba;14;Córdoba;83;3712;45;36
8116;Zaragoza;50;Zaragoza;81;2476;31;9
6502;Tarragona;43;Tarragona;79;4703;60;54
2527;Girona;17;Girona;79;2202;28;20
29950;Can Picafort;7;Islas Baleares;78;3681;47;38
4484;Benalmádena;29;Málaga;77;4500;58;38
29851;L'Hospitalet de Llobregat;8;Barcelona;75;5981;80;69
5254;Pájara;35;Las Palmas;74;1713;23;18
29858;Menorca;7;Islas Baleares;72;1702;24;16
4513;Fuengirola;29;Málaga;70;5018;72;54
4391;Pozuelo de Alarcón;28;Madrid;70;1417;20;15
5258;San Bartolomé de Tirajana;35;Las Palmas;68;3181;47;35
1221;Burgos;9;Burgos;68;1390;20;17
811;Ciutadella de Menorca;7;Islas Baleares;67;4823;72;51
4510;Estepona;29;Málaga;66;4065;62;40
29831;San Antonio Abad;7;Islas Baleares;66;2368;36;22
156;Altea;3;Alicante;65;856;13;10
827;Llucmajor;7;Islas Baleares;64;2027;32;23
11604;Quarteira;137;Faro;64;1095;17;15
29828;Playa Blanca;35;Las Palmas;63;1891;30;22
29947;Alvor;137;Faro;63;670;11;11
4591;Murcia;30;Murcia;63;1529;24;12
29830;Lanzarote;35;Las Palmas;62;1711;28;21
29873;Colonia de Sant Jordi;7;Islas Baleares;61;2497;41;17
2199;Santiago de Compostela;15;A Coruña;61;1086;18;13
821;Formentera;7;Islas Baleares;60;4244;71;42
30026;Palmanova;7;Islas Baleares;60;3893;65;42
11591;Albufeira;137;Faro;59;1389;24;17
11784;Porto;147;Porto;59;2179;37;26
