IDCountry;CountryName;TitleId;JobTitleName;N;TotalApplications;Mean;P50
40;Spain;669;Waiter;1784;119946;67;46
40;Spain;221;Cook;1588;71996;45;30
40;Spain;591;Receptionist;1342;163889;122;95
40;Spain;552;Chambermaid;1289;89891;70;40
40;Spain;243;Kitchen Assistant;721;41253;57;38
40;Spain;668;Waiter Assistant;670;35250;53;31
40;Spain;584;Hotel Receptionist;511;42595;83;58
40;Spain;494;Maintenance Technician;507;14595;29;23
40;Spain;257;Chef de Partie;446;13754;31;22
40;Spain;561;Housekeeping Staff;438;30853;70;36
118;Portugal;669;Waiter;369;20621;56;35
40;Spain;572;Bellboy;358;17532;49;41
40;Spain;590;Reception Assistant;336;24734;74;48
40;Spain;226;Dishwasher;314;17835;57;39
40;Spain;652;Head Waiter;287;10592;37;30
40;Spain;551;Assistant Executive Housekeeper;281;8584;31;24
118;Portugal;591;Receptionist;279;23575;85;76
40;Spain;218;Chef;275;11347;41;37
40;Spain;254;Sous Chef;256;7693;30;23
118;Portugal;221;Cook;255;10367;41;25
40;Spain;580;Front Office Manager;229;11993;52;44
40;Spain;630;Assistant Head Waiter;197;4142;21;17
40;Spain;589;Night Receptionist;194;12472;64;51
40;Spain;489;Maintenance Manager;172;4480;26;20
40;Spain;177;GEX - Guest Experience Assistant;157;5066;32;24
40;Spain;657;Bartender;155;7410;48;42
40;Spain;653;Host/Hostess;151;9092;60;39
40;Spain;119;Reservation Agent;148;9517;64;52
40;Spain;661;Restaurant Manager;147;3552;24;19
40;Spain;286;Rental Sales Consultant;144;1989;14;11
40;Spain;492;Maintenance Assistant;141;4255;30;24
40;Spain;664;Restaurant Section Head;138;2483;18;15
118;Portugal;584;Hotel Receptionist;135;8945;66;39
40;Spain;557;Executive Housekeeper;134;4636;35;28
40;Spain;293;Sales Agent;126;3506;28;19
40;Spain;577;Concierge;125;7518;60;46
40;Spain;587;Night Auditor;124;6318;51;43
40;Spain;550;Assistant Hotel Manager;124;4943;40;31
40;Spain;493;Maintenance Officer;123;2579;21;18
40;Spain;79;Hotel Director;116;8139;70;73
40;Spain;113;Travel Agent;110;6631;60;51
40;Spain;570;Assistant Head of Reception;108;5140;48;43
40;Spain;165;Customer Service Advisor;106;884;8;0
98;Mexico;113;Travel Agent;97;1489;15;12
118;Portugal;657;Bartender;97;3251;34;21
40;Spain;593;Human Resources Intern;90;1048;12;10
40;Spain;23;Administrative;90;3088;34;25
40;Spain;6;Accounting Intern;89;381;4;0
118;Portugal;494;Maintenance Technician;87;1898;22;18
40;Spain;181;GEX - Guest Experience Coordinator;84;3127;37;28
40;Spain;631;Assistant Restaurant Manager;84;1911;23;17
118;Portugal;561;Housekeeping Staff;83;6920;83;40
40;Spain;650;Food and Beverage Manager;82;2818;34;31
40;Spain;166;Customer Service Agent;81;1953;24;13
118;Portugal;552;Chambermaid;78;4048;52;36
40;Spain;80;Hotel Manager;76;3495;46;28
40;Spain;124;Actor;69;914;13;0
40;Spain;301;Sales Intern;68;1056;16;14
40;Spain;10;Accounts Manager;68;218;3;0
118;Portugal;652;Head Waiter;67;1593;24;17
40;Spain;634;Bar Manager;65;1734;27;23
40;Spain;159;Tourist Animator;63;4455;71;59
118;Portugal;653;Host/Hostess;63;3439;55;26
40;Spain;26;Administrative Assistant;62;3134;51;48
118;Portugal;218;Chef;60;1813;30;25
40;Spain;248;Pastry Chef;59;1620;27;25
40;Spain;1;Accountant;58;742;13;10
40;Spain;628;Assistant Bar Manager;58;1550;27;16
118;Portugal;587;Night Auditor;57;1785;31;22
118;Portugal;80;Hotel Manager;56;2257;40;28
40;Spain;180;GEX - Guest Experience Manager;56;1833;33;28
40;Spain;89;Valet Parking;55;2537;46;36
40;Spain;697;Masseur;55;1483;27;24
