IDRegion;RegionName;TitleId;JobTitleName;N;TotalApplications;Mean;P50
8;Barcelona;591;Receptionist;374;48888;131;122
8;Barcelona;669;Waiter;358;30642;86;80
7;Islas Baleares;221;Cook;326;15324;47;29
7;Islas Baleares;669;Waiter;270;26366;98;76
7;Islas Baleares;552;Chambermaid;268;19830;74;38
8;Barcelona;221;Cook;248;18132;73;73
28;Madrid;669;Waiter;229;19485;85;63
28;Madrid;591;Receptionist;215;38381;179;155
7;Islas Baleares;591;Receptionist;175;18486;106;92
7;Islas Baleares;257;Chef de Partie;174;5284;30;20
28;Madrid;221;Cook;171;10543;62;41
35;Las Palmas;552;Chambermaid;155;5917;38;30
8;Barcelona;552;Chambermaid;132;12473;94;92
8;Barcelona;584;Hotel Receptionist;121;12797;106;82
7;Islas Baleares;668;Waiter Assistant;121;7120;59;29
29;Málaga;552;Chambermaid;117;9946;85;57
29;Málaga;669;Waiter;117;7376;63;49
38;Santa Cruz de Tenerife;552;Chambermaid;117;3803;33;26
7;Islas Baleares;494;Maintenance Technician;114;3672;32;27
7;Islas Baleares;243;Kitchen Assistant;112;6947;62;39
147;Porto;669;Waiter;110;7005;64;47
38;Santa Cruz de Tenerife;668;Waiter Assistant;109;1964;18;12
29;Málaga;221;Cook;108;4555;42;33
132;Lisboa;591;Receptionist;105;10218;97;98
132;Lisboa;669;Waiter;105;9698;92;84
35;Las Palmas;221;Cook;101;2519;25;20
7;Islas Baleares;561;Housekeeping Staff;101;2963;29;19
8;Barcelona;243;Kitchen Assistant;98;11206;114;106
35;Las Palmas;669;Waiter;98;4004;41;29
38;Santa Cruz de Tenerife;243;Kitchen Assistant;93;2290;25;21
147;Porto;221;Cook;91;3923;43;32
7;Islas Baleares;652;Head Waiter;91;4234;47;38
8;Barcelona;668;Waiter Assistant;90;8056;90;93
8;Barcelona;494;Maintenance Technician;89;3554;40;39
28;Madrid;243;Kitchen Assistant;89;6654;75;71
8;Barcelona;561;Housekeeping Staff;86;12770;148;140
29;Málaga;591;Receptionist;84;10786;128;101
28;Madrid;668;Waiter Assistant;82;6839;83;76
3;Alicante;669;Waiter;81;4346;54;37
46;Valencia;591;Receptionist;80;14602;183;139
28;Madrid;584;Hotel Receptionist;79;8792;111;79
3;Alicante;552;Chambermaid;78;5547;71;44
7;Islas Baleares;254;Sous Chef;78;2131;27;23
132;Lisboa;584;Hotel Receptionist;75;6151;82;61
46;Valencia;669;Waiter;74;5974;81;62
28;Madrid;572;Bellboy;74;4769;64;65
28;Madrid;590;Reception Assistant;70;7732;110;73
8;Barcelona;572;Bellboy;69;3679;53;56
38;Santa Cruz de Tenerife;221;Cook;69;1320;19;17
7;Islas Baleares;218;Chef;68;3442;51;44
147;Porto;591;Receptionist;67;7526;112;108
38;Santa Cruz de Tenerife;669;Waiter;66;2644;40;32
28;Madrid;552;Chambermaid;66;8891;135;120
28;Madrid;494;Maintenance Technician;66;1859;28;22
35;Las Palmas;243;Kitchen Assistant;66;1871;28;22
7;Islas Baleares;551;Assistant Executive Housekeeper;65;1722;26;20
41;Sevilla;669;Waiter;65;5035;77;59
46;Valencia;221;Cook;65;3782;58;42
7;Islas Baleares;590;Reception Assistant;62;4024;65;62
7;Islas Baleares;580;Front Office Manager;59;2752;47;38
3;Alicante;221;Cook;58;2355;41;27
17;Girona;669;Waiter;58;1605;28;19
132;Lisboa;221;Cook;58;4475;77;68
35;Las Palmas;668;Waiter Assistant;57;2617;46;27
3;Alicante;591;Receptionist;56;5869;105;77
8;Barcelona;226;Dishwasher;56;5028;90;81
8;Barcelona;589;Night Receptionist;55;3980;72;61
7;Islas Baleares;584;Hotel Receptionist;51;4517;89;76
7;Islas Baleares;572;Bellboy;51;2860;56;40
28;Madrid;561;Housekeeping Staff;50;5251;105;95
29;Málaga;243;Kitchen Assistant;48;2498;52;42
7;Islas Baleares;664;Restaurant Section Head;48;1161;24;20
17;Girona;221;Cook;48;1597;33;37
17;Girona;552;Chambermaid;48;1480;31;26
17;Girona;591;Receptionist;47;2446;52;42
41;Sevilla;221;Cook;47;3149;67;55
132;Lisboa;494;Maintenance Technician;46;1115;24;23
7;Islas Baleares;577;Concierge;46;2001;44;36
35;Las Palmas;591;Receptionist;46;2679;58;49
28;Madrid;257;Chef de Partie;46;1775;39;31
8;Barcelona;124;Actor;45;0;0;0
8;Barcelona;587;Night Auditor;44;1874;43;39
8;Barcelona;580;Front Office Manager;44;2337;53;53
11;Cádiz;221;Cook;43;1139;26;23
8;Barcelona;119;Reservation Agent;42;2940;70;60
7;Islas Baleares;489;Maintenance Manager;42;1066;25;20
29;Málaga;668;Waiter Assistant;42;1547;37;33
7;Islas Baleares;653;Host/Hostess;41;2940;72;32
7;Islas Baleares;661;Restaurant Manager;39;886;23;19
7;Islas Baleares;226;Dishwasher;39;3601;92;76
8;Barcelona;551;Assistant Executive Housekeeper;39;1624;42;36
15;A Coruña;221;Cook;39;529;14;12
38;Santa Cruz de Tenerife;177;GEX - Guest Experience Assistant;39;1047;27;22
38;Santa Cruz de Tenerife;226;Dishwasher;38;780;21;14
38;Santa Cruz de Tenerife;494;Maintenance Technician;38;712;19;19
8;Barcelona;590;Reception Assistant;38;1875;49;37
8;Barcelona;657;Bartender;36;2395;67;69
3;Alicante;584;Hotel Receptionist;36;3868;107;70
8;Barcelona;218;Chef;35;1753;50;54
29;Málaga;572;Bellboy;35;1149;33;30
35;Las Palmas;257;Chef de Partie;35;688;20;18
35;Las Palmas;177;GEX - Guest Experience Assistant;35;975;28;22
41;Sevilla;591;Receptionist;35;5779;165;119
43;Tarragona;552;Chambermaid;35;3302;94;88
29;Málaga;257;Chef de Partie;34;1125;33;29
29;Málaga;226;Dishwasher;34;1465;43;26
7;Islas Baleares;657;Bartender;34;1702;50;35
8;Barcelona;652;Head Waiter;33;1433;43;39
8;Barcelona;597;Intern in Reception;33;691;21;22
17;Girona;243;Kitchen Assistant;33;1368;41;44
35;Las Palmas;630;Assistant Head Waiter;33;597;18;13
46;Valencia;494;Maintenance Technician;33;957;29;27
46;Valencia;122;Activities Assistant;32;1;0;0
132;Lisboa;587;Night Auditor;32;1331;42;35
132;Lisboa;657;Bartender;32;2084;65;39
35;Las Palmas;561;Housekeeping Staff;32;1361;43;31
