IDCity;CityName;IDRegion;RegionName;TitleId;JobTitleName;N;TotalApplications;Mean;P50
882;Barcelona;8;Barcelona;669;Waiter;307;28291;92;84
882;Barcelona;8;Barcelona;591;Receptionist;299;43117;144;153
4359;Madrid;28;Madrid;669;Waiter;210;18172;87;68
882;Barcelona;8;Barcelona;221;Cook;207;16184;78;80
4359;Madrid;28;Madrid;591;Receptionist;190;35855;189;170
4359;Madrid;28;Madrid;221;Cook;146;9569;66;55
882;Barcelona;8;Barcelona;552;Chambermaid;109;11455;105;103
882;Barcelona;8;Barcelona;584;Hotel Receptionist;100;11292;113;96
11470;Lisboa;132;Lisboa;591;Receptionist;97;9824;101;100
11470;Lisboa;132;Lisboa;669;Waiter;84;8041;96;90
882;Barcelona;8;Barcelona;494;Maintenance Technician;84;3393;40;39
882;Barcelona;8;Barcelona;243;Kitchen Assistant;82;10070;123;114
4359;Madrid;28;Madrid;243;Kitchen Assistant;81;6654;82;78
32641;Oporto;147;Porto;669;Waiter;78;5938;76;65
882;Barcelona;8;Barcelona;561;Housekeeping Staff;77;12427;161;147
4359;Madrid;28;Madrid;584;Hotel Receptionist;76;8532;112;74
4359;Madrid;28;Madrid;668;Waiter Assistant;75;6597;88;79
4359;Madrid;28;Madrid;572;Bellboy;74;4769;64;65
882;Barcelona;8;Barcelona;668;Waiter Assistant;74;7267;98;99
11470;Lisboa;132;Lisboa;584;Hotel Receptionist;73;5979;82;57
29812;València;46;Valencia;591;Receptionist;68;13322;196;148
5697;Adeje;38;Santa Cruz de Tenerife;552;Chambermaid;67;1653;25;19
32641;Oporto;147;Porto;221;Cook;66;3227;49;39
5697;Adeje;38;Santa Cruz de Tenerife;668;Waiter Assistant;65;915;14;7
837;Palma de Mallorca;7;Islas Baleares;669;Waiter;65;10314;159;143
882;Barcelona;8;Barcelona;572;Bellboy;63;3398;54;57
4359;Madrid;28;Madrid;552;Chambermaid;63;8687;138;123
4359;Madrid;28;Madrid;590;Reception Assistant;63;7464;118;84
4359;Madrid;28;Madrid;494;Maintenance Technician;60;1721;29;22
4526;Málaga;29;Málaga;669;Waiter;59;4544;77;60
6155;Sevilla;41;Sevilla;669;Waiter;59;4874;83;64
837;Palma de Mallorca;7;Islas Baleares;221;Cook;58;4194;72;62
29812;València;46;Valencia;221;Cook;56;3540;63;57
29812;València;46;Valencia;669;Waiter;55;5401;98;94
32641;Oporto;147;Porto;591;Receptionist;55;6504;118;114
11470;Lisboa;132;Lisboa;221;Cook;54;4241;79;70
882;Barcelona;8;Barcelona;226;Dishwasher;51;4481;88;80
4526;Málaga;29;Málaga;552;Chambermaid;49;4361;89;63
4359;Madrid;28;Madrid;561;Housekeeping Staff;48;5005;104;95
882;Barcelona;8;Barcelona;589;Night Receptionist;45;3351;74;62
837;Palma de Mallorca;7;Islas Baleares;591;Receptionist;44;6120;139;111
4359;Madrid;28;Madrid;257;Chef de Partie;44;1623;37;31
11470;Lisboa;132;Lisboa;494;Maintenance Technician;44;1098;25;24
882;Barcelona;8;Barcelona;124;Actor;43;0;0;0
4528;Marbella;29;Málaga;221;Cook;42;1424;34;28
882;Barcelona;8;Barcelona;587;Night Auditor;41;1743;43;39
6155;Sevilla;41;Sevilla;221;Cook;39;2835;73;62
837;Palma de Mallorca;7;Islas Baleares;552;Chambermaid;38;5940;156;126
815;Ibiza;7;Islas Baleares;221;Cook;38;1781;47;29
168;Benidorm;3;Alicante;669;Waiter;36;1837;51;37
837;Palma de Mallorca;7;Islas Baleares;257;Chef de Partie;36;1722;48;40
882;Barcelona;8;Barcelona;119;Reservation Agent;36;2647;74;60
882;Barcelona;8;Barcelona;551;Assistant Executive Housekeeper;36;1490;41;36
882;Barcelona;8;Barcelona;657;Bartender;36;2395;67;69
882;Barcelona;8;Barcelona;580;Front Office Manager;35;1938;55;54
5697;Adeje;38;Santa Cruz de Tenerife;243;Kitchen Assistant;33;553;17;17
4526;Málaga;29;Málaga;221;Cook;33;1556;47;37
30153;San Jorge de ses Salines;7;Islas Baleares;561;Housekeeping Staff;33;405;12;6
29812;València;46;Valencia;122;Activities Assistant;32;1;0;0
29812;València;46;Valencia;494;Maintenance Technician;32;930;29;27
11470;Lisboa;132;Lisboa;587;Night Auditor;32;1331;42;35
4526;Málaga;29;Málaga;591;Receptionist;32;5361;168;160
4528;Marbella;29;Málaga;669;Waiter;32;1550;48;31
6155;Sevilla;41;Sevilla;591;Receptionist;32;5581;174;127
882;Barcelona;8;Barcelona;597;Intern in Reception;32;691;22;23
837;Palma de Mallorca;7;Islas Baleares;494;Maintenance Technician;32;1110;35;31
4359;Madrid;28;Madrid;301;Sales Intern;31;451;15;14
4528;Marbella;29;Málaga;552;Chambermaid;30;2131;71;44
168;Benidorm;3;Alicante;552;Chambermaid;30;1863;62;39
882;Barcelona;8;Barcelona;590;Reception Assistant;30;1417;47;30
11470;Lisboa;132;Lisboa;657;Bartender;30;1862;62;38
882;Barcelona;8;Barcelona;593;Human Resources Intern;29;313;11;8
5735;Santa Cruz de Tenerife;38;Santa Cruz de Tenerife;669;Waiter;29;1112;38;35
6155;Sevilla;41;Sevilla;552;Chambermaid;28;3637;130;101
4359;Madrid;28;Madrid;119;Reservation Agent;28;1867;67;40
29812;València;46;Valencia;552;Chambermaid;28;4162;149;143
5697;Adeje;38;Santa Cruz de Tenerife;221;Cook;27;264;10;9
882;Barcelona;8;Barcelona;218;Chef;27;1508;56;58
837;Palma de Mallorca;7;Islas Baleares;652;Head Waiter;26;1489;57;58
168;Benidorm;3;Alicante;668;Waiter Assistant;26;1253;48;41
797;Alcúdia;7;Islas Baleares;552;Chambermaid;26;1190;46;35
5697;Adeje;38;Santa Cruz de Tenerife;494;Maintenance Technician;26;388;15;13
4359;Madrid;28;Madrid;113;Travel Agent;26;1836;71;67
4528;Marbella;29;Málaga;591;Receptionist;26;2371;91;73
4359;Madrid;28;Madrid;657;Bartender;25;1286;51;46
5697;Adeje;38;Santa Cruz de Tenerife;177;GEX - Guest Experience Assistant;25;790;32;28
815;Ibiza;7;Islas Baleares;552;Chambermaid;25;2389;96;49
882;Barcelona;8;Barcelona;653;Host/Hostess;25;1835;73;66
29681;Canillo;322;Canillo;652;Head Waiter;25;690;28;24
29810;Ciudad de México;131;Ciudad de México;113;Travel Agent;25;615;25;21
882;Barcelona;8;Barcelona;652;Head Waiter;24;1154;48;49
882;Barcelona;8;Barcelona;493;Maintenance Officer;24;567;24;21
882;Barcelona;8;Barcelona;257;Chef de Partie;24;1145;48;49
5735;Santa Cruz de Tenerife;38;Santa Cruz de Tenerife;552;Chambermaid;24;1257;52;39
7492;Bilbao;48;Vizcaya;591;Receptionist;24;1693;71;81
4359;Madrid;28;Madrid;652;Head Waiter;24;737;31;28
4359;Madrid;28;Madrid;589;Night Receptionist;24;2212;92;92
4359;Madrid;28;Madrid;489;Maintenance Manager;24;734;31;22
4359;Madrid;28;Madrid;661;Restaurant Manager;23;533;23;24
4528;Marbella;29;Málaga;668;Waiter Assistant;23;687;30;23
882;Barcelona;8;Barcelona;113;Travel Agent;23;1992;87;77
815;Ibiza;7;Islas Baleares;669;Waiter;23;2247;98;61
29690;Costa Adeje;38;Santa Cruz de Tenerife;243;Kitchen Assistant;23;605;26;21
11470;Lisboa;132;Lisboa;653;Host/Hostess;23;1996;87;49
11470;Lisboa;132;Lisboa;80;Hotel Manager;23;1135;49;38
32641;Oporto;147;Porto;652;Head Waiter;22;716;33;23
815;Ibiza;7;Islas Baleares;668;Waiter Assistant;22;1689;77;59
815;Ibiza;7;Islas Baleares;494;Maintenance Technician;22;865;39;30
815;Ibiza;7;Islas Baleares;257;Chef de Partie;22;490;22;14
168;Benidorm;3;Alicante;591;Receptionist;22;2376;108;89
152;Alicante/Alacant;3;Alicante;669;Waiter;22;1662;76;44
4359;Madrid;28;Madrid;551;Assistant Executive Housekeeper;22;1042;47;43
4359;Madrid;28;Madrid;226;Dishwasher;22;1528;69;71
6155;Sevilla;41;Sevilla;243;Kitchen Assistant;22;1745;79;77
5266;Tías;35;Las Palmas;552;Chambermaid;22;426;19;17
5272;Yaiza;35;Las Palmas;177;GEX - Guest Experience Assistant;22;471;21;18
152;Alicante/Alacant;3;Alicante;591;Receptionist;21;2575;123;66
815;Ibiza;7;Islas Baleares;243;Kitchen Assistant;21;1147;55;46
882;Barcelona;8;Barcelona;1;Accountant;21;98;5;1
2199;Santiago de Compostela;15;A Coruña;221;Cook;21;302;14;12
32641;Oporto;147;Porto;561;Housekeeping Staff;21;1411;67;67
11470;Lisboa;132;Lisboa;166;Customer Service Agent;21;375;18;16
11470;Lisboa;132;Lisboa;580;Front Office Manager;20;704;35;33
29717;Las Palmas de Gran Canaria;35;Las Palmas;669;Waiter;20;1267;63;61
882;Barcelona;8;Barcelona;301;Sales Intern;20;281;14;13
882;Barcelona;8;Barcelona;577;Concierge;20;1855;93;78
882;Barcelona;8;Barcelona;630;Assistant Head Waiter;20;562;28;23
152;Alicante/Alacant;3;Alicante;584;Hotel Receptionist;20;2817;141;124
5735;Santa Cruz de Tenerife;38;Santa Cruz de Tenerife;668;Waiter Assistant;20;422;21;22
7492;Bilbao;48;Vizcaya;669;Waiter;20;1333;67;66
4359;Madrid;28;Madrid;580;Front Office Manager;20;1464;73;59
4528;Marbella;29;Málaga;243;Kitchen Assistant;20;719;36;25
4359;Madrid;28;Madrid;493;Maintenance Officer;19;349;18;16
4359;Madrid;28;Madrid;293;Sales Agent;19;1068;56;38
5735;Santa Cruz de Tenerife;38;Santa Cruz de Tenerife;221;Cook;19;659;35;31
152;Alicante/Alacant;3;Alicante;221;Cook;19;992;52;50
815;Ibiza;7;Islas Baleares;591;Receptionist;19;2277;120;105
837;Palma de Mallorca;7;Islas Baleares;243;Kitchen Assistant;19;2753;145;153
882;Barcelona;8;Barcelona;492;Maintenance Assistant;19;724;38;40
882;Barcelona;8;Barcelona;661;Restaurant Manager;19;823;43;29
2749;Granada;18;Granada;221;Cook;19;872;46;40
29717;Las Palmas de Gran Canaria;35;Las Palmas;552;Chambermaid;19;1042;55;39
11470;Lisboa;132;Lisboa;561;Housekeeping Staff;19;3825;201;163
29812;València;46;Valencia;572;Bellboy;19;1254;66;60
29815;Calviá;7;Islas Baleares;221;Cook;19;715;38;27
32641;Oporto;147;Porto;552;Chambermaid;19;1081;57;43
32641;Oporto;147;Porto;657;Bartender;19;523;28;24
882;Barcelona;8;Barcelona;489;Maintenance Manager;18;551;31;29
882;Barcelona;8;Barcelona;293;Sales Agent;18;781;43;33
837;Palma de Mallorca;7;Islas Baleares;668;Waiter Assistant;18;1546;86;87
168;Benidorm;3;Alicante;221;Cook;18;554;31;26
5266;Tías;35;Las Palmas;243;Kitchen Assistant;18;279;16;16
5266;Tías;35;Las Palmas;630;Assistant Head Waiter;18;269;15;10
5272;Yaiza;35;Las Palmas;552;Chambermaid;18;461;26;25
6155;Sevilla;41;Sevilla;584;Hotel Receptionist;18;2048;114;98
4359;Madrid;28;Madrid;492;Maintenance Assistant;17;541;32;16
4359;Madrid;28;Madrid;587;Night Auditor;17;1244;73;57
4359;Madrid;28;Madrid;653;Host/Hostess;17;1298;76;47
882;Barcelona;8;Barcelona;6;Accounting Intern;17;70;4;0
827;Llucmajor;7;Islas Baleares;552;Chambermaid;17;359;21;19
882;Barcelona;8;Barcelona;557;Executive Housekeeper;17;596;35;33
2749;Granada;18;Granada;552;Chambermaid;17;1585;93;70
32641;Oporto;147;Porto;572;Bellboy;17;468;28;17
32641;Oporto;147;Porto;584;Hotel Receptionist;17;1363;80;58
32641;Oporto;147;Porto;218;Chef;17;395;23;24
32641;Oporto;147;Porto;80;Hotel Manager;17;793;47;28
29851;L'Hospitalet de Llobregat;8;Barcelona;591;Receptionist;17;1926;113;97
29717;Las Palmas de Gran Canaria;35;Las Palmas;221;Cook;17;578;34;33
29690;Costa Adeje;38;Santa Cruz de Tenerife;552;Chambermaid;16;558;35;30
11470;Lisboa;132;Lisboa;218;Chef;16;924;58;36
11470;Lisboa;132;Lisboa;489;Maintenance Manager;16;293;18;16
11470;Lisboa;132;Lisboa;113;Travel Agent;16;1442;90;82
1221;Burgos;9;Burgos;221;Cook;16;197;12;12
1221;Burgos;9;Burgos;669;Waiter;16;404;25;21
152;Alicante/Alacant;3;Alicante;552;Chambermaid;16;1726;108;108
4359;Madrid;28;Madrid;630;Assistant Head Waiter;16;389;24;22
4359;Madrid;28;Madrid;557;Executive Housekeeper;16;615;38;34
4359;Madrid;28;Madrid;570;Assistant Head of Reception;16;1036;65;54
4359;Madrid;28;Madrid;533;Marketing Intern;16;364;23;17
4359;Madrid;28;Madrid;286;Rental Sales Consultant;16;223;14;16
4359;Madrid;28;Madrid;165;Customer Service Advisor;16;397;25;19
4526;Málaga;29;Málaga;243;Kitchen Assistant;16;881;55;48
4526;Málaga;29;Málaga;257;Chef de Partie;15;656;44;38
4526;Málaga;29;Málaga;119;Reservation Agent;15;1193;80;76
4484;Benalmádena;29;Málaga;552;Chambermaid;15;1389;93;56
4359;Madrid;28;Madrid;218;Chef;15;555;37;34
6488;Salou;43;Tarragona;552;Chambermaid;15;1769;118;124
5272;Yaiza;35;Las Palmas;669;Waiter;15;330;22;21
5735;Santa Cruz de Tenerife;38;Santa Cruz de Tenerife;243;Kitchen Assistant;15;611;41;31
5697;Adeje;38;Santa Cruz de Tenerife;669;Waiter;15;529;35;27
837;Palma de Mallorca;7;Islas Baleares;460;Airport Guide;15;80;5;0
882;Barcelona;8;Barcelona;570;Assistant Head of Reception;15;704;47;45
882;Barcelona;8;Barcelona;254;Sous Chef;15;1041;69;69
2151;A Coruña;15;A Coruña;221;Cook;15;221;15;10
29812;València;46;Valencia;243;Kitchen Assistant;15;1150;77;89
29681;Canillo;322;Canillo;669;Waiter;14;1117;80;64
29690;Costa Adeje;38;Santa Cruz de Tenerife;669;Waiter;14;765;55;44
29694;Islas Baleares;7;Islas Baleares;552;Chambermaid;14;1188;85;38
32641;Oporto;147;Porto;243;Kitchen Assistant;14;757;54;45
882;Barcelona;8;Barcelona;337;Purchasing Intern;14;165;12;12
882;Barcelona;8;Barcelona;650;Food and Beverage Manager;14;466;33;31
837;Palma de Mallorca;7;Islas Baleares;218;Chef;14;710;51;45
882;Barcelona;8;Barcelona;181;GEX - Guest Experience Coordinator;14;612;44;37
168;Benidorm;3;Alicante;494;Maintenance Technician;14;309;22;19
5697;Adeje;38;Santa Cruz de Tenerife;572;Bellboy;14;236;17;16
5697;Adeje;38;Santa Cruz de Tenerife;226;Dishwasher;14;114;8;8
5735;Santa Cruz de Tenerife;38;Santa Cruz de Tenerife;226;Dishwasher;14;356;25;25
5330;Vigo;36;Pontevedra;669;Waiter;14;551;39;32
5266;Tías;35;Las Palmas;561;Housekeeping Staff;14;253;18;17
4359;Madrid;28;Madrid;337;Purchasing Intern;14;130;9;8
4359;Madrid;28;Madrid;593;Human Resources Intern;14;199;14;10
4359;Madrid;28;Madrid;486;Facilities Technician;14;223;16;16
4359;Madrid;28;Madrid;79;Hotel Director;14;699;50;27
4526;Málaga;29;Málaga;572;Bellboy;14;632;45;43
4526;Málaga;29;Málaga;668;Waiter Assistant;14;688;49;35
4549;Torremolinos;29;Málaga;552;Chambermaid;14;1350;96;66
4528;Marbella;29;Málaga;257;Chef de Partie;13;335;26;24
4528;Marbella;29;Málaga;226;Dishwasher;13;368;28;23
4359;Madrid;28;Madrid;6;Accounting Intern;13;155;12;11
4359;Madrid;28;Madrid;577;Concierge;13;1801;139;98
4359;Madrid;28;Madrid;254;Sous Chef;13;535;41;35
4359;Madrid;28;Madrid;177;GEX - Guest Experience Assistant;13;721;55;38
5258;San Bartolomé de Tirajana;35;Las Palmas;552;Chambermaid;13;968;74;59
5272;Yaiza;35;Las Palmas;221;Cook;13;247;19;17
5735;Santa Cruz de Tenerife;38;Santa Cruz de Tenerife;653;Host/Hostess;13;356;27;35
5702;Arona;38;Santa Cruz de Tenerife;243;Kitchen Assistant;13;275;21;19
6155;Sevilla;41;Sevilla;572;Bellboy;13;994;76;56
882;Barcelona;8;Barcelona;166;Customer Service Agent;13;392;30;34
2603;Sant Feliu de Guíxols;17;Girona;552;Chambermaid;13;386;30;26
32641;Oporto;147;Porto;653;Host/Hostess;13;943;73;97
29681;Canillo;322;Canillo;243;Kitchen Assistant;13;588;45;45
11470;Lisboa;132;Lisboa;177;GEX - Guest Experience Assistant;13;383;29;23
11470;Lisboa;132;Lisboa;254;Sous Chef;13;450;35;31
11470;Lisboa;132;Lisboa;570;Assistant Head of Reception;13;727;56;30
29815;Calviá;7;Islas Baleares;552;Chambermaid;13;752;58;45
29812;València;46;Valencia;657;Bartender;13;395;30;35
29815;Calviá;7;Islas Baleares;669;Waiter;13;1041;80;76
30153;San Jorge de ses Salines;7;Islas Baleares;221;Cook;13;200;15;13
30153;San Jorge de ses Salines;7;Islas Baleares;668;Waiter Assistant;12;298;25;6
29935;San Juan Bautista;7;Islas Baleares;552;Chambermaid;12;170;14;13
11470;Lisboa;132;Lisboa;119;Reservation Agent;12;1418;118;112
29677;Portals Nous;7;Islas Baleares;221;Cook;12;301;25;20
29694;Islas Baleares;7;Islas Baleares;221;Cook;12;784;65;22
32641;Oporto;147;Porto;226;Dishwasher;12;694;58;42
2749;Granada;18;Granada;669;Waiter;12;853;71;32
3162;Donostia/San Sebastián;20;Guipúzcoa;552;Chambermaid;12;621;52;60
882;Barcelona;8;Barcelona;533;Marketing Intern;12;293;24;26
882;Barcelona;8;Barcelona;80;Hotel Manager;12;859;72;61
168;Benidorm;3;Alicante;580;Front Office Manager;12;671;56;61
168;Benidorm;3;Alicante;243;Kitchen Assistant;12;441;37;37
815;Ibiza;7;Islas Baleares;551;Assistant Executive Housekeeper;12;323;27;20
6155;Sevilla;41;Sevilla;494;Maintenance Technician;12;355;30;28
7492;Bilbao;48;Vizcaya;221;Cook;12;895;75;69
5697;Adeje;38;Santa Cruz de Tenerife;664;Restaurant Section Head;12;174;15;13
5735;Santa Cruz de Tenerife;38;Santa Cruz de Tenerife;293;Sales Agent;12;125;10;11
5330;Vigo;36;Pontevedra;221;Cook;12;335;28;25
4391;Pozuelo de Alarcón;28;Madrid;192;Call Center Agent;12;275;23;26
4526;Málaga;29;Málaga;494;Maintenance Technician;12;462;39;39
4513;Fuengirola;29;Málaga;591;Receptionist;12;1498;125;105
4526;Málaga;29;Málaga;286;Rental Sales Consultant;12;247;21;18
4528;Marbella;29;Málaga;590;Reception Assistant;12;590;49;49
4528;Marbella;29;Málaga;551;Assistant Executive Housekeeper;12;372;31;20
4528;Marbella;29;Málaga;561;Housekeeping Staff;11;294;27;30
4528;Marbella;29;Málaga;657;Bartender;11;406;37;28
5253;Oliva, La;35;Las Palmas;552;Chambermaid;11;474;43;36
4484;Benalmádena;29;Málaga;221;Cook;11;596;54;37
4526;Málaga;29;Málaga;589;Night Receptionist;11;1166;106;81
4359;Madrid;28;Madrid;664;Restaurant Section Head;11;252;23;25
4359;Madrid;28;Madrid;650;Food and Beverage Manager;11;428;39;33
4241;Lugo;27;Lugo;8;Accounting Technician;11;57;5;4
5272;Yaiza;35;Las Palmas;243;Kitchen Assistant;11;338;31;26
5266;Tías;35;Las Palmas;130;Children's Animator;11;322;29;25
8116;Zaragoza;50;Zaragoza;669;Waiter;11;391;36;44
6155;Sevilla;41;Sevilla;652;Head Waiter;11;305;28;35
815;Ibiza;7;Islas Baleares;489;Maintenance Manager;11;341;31;16
168;Benidorm;3;Alicante;257;Chef de Partie;11;356;32;19
168;Benidorm;3;Alicante;584;Hotel Receptionist;11;806;73;61
152;Alicante/Alacant;3;Alicante;257;Chef de Partie;11;294;27;25
