FieldId;FieldName;IDCity;CityName;IDRegion;RegionName;N;TotalApplications;Mean;P50
14;Hotel Chain;882;Barcelona;8;Barcelona;1094;91840;84;64
14;Hotel Chain;4359;Madrid;28;Madrid;846;75834;90;58
0;Not specified;4359;Madrid;28;Madrid;761;25215;33;21
0;Not specified;882;Barcelona;8;Barcelona;731;29184;40;24
14;Hotel Chain;815;Ibiza;7;Islas Baleares;355;14434;41;21
1;Independent Hotel;882;Barcelona;8;Barcelona;331;31381;95;76
1;Independent Hotel;11470;Lisboa;132;Lisboa;278;23566;85;70
14;Hotel Chain;4528;Marbella;29;Málaga;268;11621;43;34
0;Not specified;4526;Málaga;29;Málaga;246;9394;38;29
14;Hotel Chain;29812;València;46;Valencia;241;27766;115;92
14;Hotel Chain;11470;Lisboa;132;Lisboa;233;14956;64;40
0;Not specified;5697;Adeje;38;Santa Cruz de Tenerife;228;3614;16;12
14;Hotel Chain;837;Palma de Mallorca;7;Islas Baleares;222;17764;80;45
14;Hotel Chain;5697;Adeje;38;Santa Cruz de Tenerife;215;4778;22;19
0;Not specified;5735;Santa Cruz de Tenerife;38;Santa Cruz de Tenerife;215;5402;25;23
0;Not specified;11470;Lisboa;132;Lisboa;198;5377;27;23
1;Independent Hotel;32641;Oporto;147;Porto;174;10419;60;43
0;Not specified;168;Benidorm;3;Alicante;171;4465;26;22
0;Not specified;30153;San Jorge de ses Salines;7;Islas Baleares;165;2424;15;11
14;Hotel Chain;6155;Sevilla;41;Sevilla;157;14660;93;77
14;Hotel Chain;4526;Málaga;29;Málaga;155;12900;83;62
0;Not specified;4528;Marbella;29;Málaga;150;3147;21;20
1;Independent Hotel;4359;Madrid;28;Madrid;148;17765;120;100
0;Not specified;32641;Oporto;147;Porto;141;2465;17;14
0;Not specified;6155;Sevilla;41;Sevilla;139;6742;49;37
2;Restaurant;882;Barcelona;8;Barcelona;138;10958;79;76
0;Not specified;5272;Yaiza;35;Las Palmas;137;2571;19;17
0;Not specified;837;Palma de Mallorca;7;Islas Baleares;135;5256;39;22
14;Hotel Chain;29681;Canillo;322;Canillo;133;5405;41;29
0;Not specified;815;Ibiza;7;Islas Baleares;125;4092;33;21
1;Independent Hotel;837;Palma de Mallorca;7;Islas Baleares;125;14555;116;98
0;Not specified;29717;Las Palmas de Gran Canaria;35;Las Palmas;118;4417;37;23
0;Not specified;29812;València;46;Valencia;117;3866;33;20
10;Others;882;Barcelona;8;Barcelona;117;3618;31;27
10;Others;4359;Madrid;28;Madrid;117;6093;52;43
14;Hotel Chain;32641;Oporto;147;Porto;110;7896;72;37
0;Not specified;5266;Tías;35;Las Palmas;104;1680;16;16
37;Tourist apartments;882;Barcelona;8;Barcelona;100;10783;108;85
0;Not specified;152;Alicante/Alacant;3;Alicante;98;3231;33;28
2;Restaurant;32641;Oporto;147;Porto;90;4675;52;41
32;Restaurant Chain;882;Barcelona;8;Barcelona;90;7746;86;79
14;Hotel Chain;29815;Calviá;7;Islas Baleares;89;4387;49;31
10;Others;168;Benidorm;3;Alicante;88;2963;34;30
14;Hotel Chain;29690;Costa Adeje;38;Santa Cruz de Tenerife;84;2576;31;25
14;Hotel Chain;168;Benidorm;3;Alicante;83;5407;65;45
14;Hotel Chain;5735;Santa Cruz de Tenerife;38;Santa Cruz de Tenerife;83;3468;42;35
14;Hotel Chain;29805;Soldeu;322;Canillo;80;2968;37;29
14;Hotel Chain;2543;Lloret de Mar;17;Girona;78;3433;44;35
2;Restaurant;4359;Madrid;28;Madrid;78;4431;57;37
46;Business group;5272;Yaiza;35;Las Palmas;77;1475;19;18
52;Cruises;32641;Oporto;147;Porto;76;2046;27;20
14;Hotel Chain;152;Alicante/Alacant;3;Alicante;76;4848;64;34
0;Not specified;29935;San Juan Bautista;7;Islas Baleares;73;951;13;11
14;Hotel Chain;7492;Bilbao;48;Vizcaya;71;3983;56;47
2;Restaurant;11470;Lisboa;132;Lisboa;70;4294;61;37
19;Travel Agency;29810;Ciudad de México;131;Ciudad de México;70;1645;24;21
0;Not specified;5702;Arona;38;Santa Cruz de Tenerife;69;1355;20;20
14;Hotel Chain;797;Alcúdia;7;Islas Baleares;69;2780;40;30
14;Hotel Chain;5272;Yaiza;35;Las Palmas;68;1801;26;23
14;Hotel Chain;2749;Granada;18;Granada;68;4572;67;42
14;Hotel Chain;29950;Can Picafort;7;Islas Baleares;66;3129;47;37
14;Hotel Chain;6488;Salou;43;Tarragona;64;4869;76;69
1;Independent Hotel;168;Benidorm;3;Alicante;62;3413;55;51
32;Restaurant Chain;837;Palma de Mallorca;7;Islas Baleares;62;5832;94;48
1;Independent Hotel;29935;San Juan Bautista;7;Islas Baleares;60;1337;22;19
0;Not specified;2749;Granada;18;Granada;59;2186;37;28
0;Not specified;29694;Islas Baleares;7;Islas Baleares;58;790;14;11
14;Hotel Chain;5258;San Bartolomé de Tirajana;35;Las Palmas;58;2726;47;35
14;Hotel Chain;29717;Las Palmas de Gran Canaria;35;Las Palmas;57;3811;67;51
46;Business group;5266;Tías;35;Las Palmas;57;1210;21;19
14;Hotel Chain;4549;Torremolinos;29;Málaga;56;4239;76;52
0;Not specified;2151;A Coruña;15;A Coruña;56;871;16;10
32;Restaurant Chain;4359;Madrid;28;Madrid;55;3983;72;43
0;Not specified;30175;Fuerteventura;35;Las Palmas;54;1125;21;19
14;Hotel Chain;811;Ciutadella de Menorca;7;Islas Baleares;53;4408;83;67
0;Not specified;4391;Pozuelo de Alarcón;28;Madrid;52;709;14;13
14;Hotel Chain;29694;Islas Baleares;7;Islas Baleares;51;3444;68;45
14;Hotel Chain;29851;L'Hospitalet de Llobregat;8;Barcelona;51;4238;83;76
10;Others;837;Palma de Mallorca;7;Islas Baleares;50;2049;41;30
2;Restaurant;837;Palma de Mallorca;7;Islas Baleares;49;3836;78;45
1;Independent Hotel;815;Ibiza;7;Islas Baleares;48;3917;82;60
0;Not specified;4591;Murcia;30;Murcia;48;1035;22;10
17;Recruitment Agency;882;Barcelona;8;Barcelona;48;4161;87;81
14;Hotel Chain;29947;Alvor;137;Faro;48;425;9;9
14;Hotel Chain;851;Santa Eulària des Riu;7;Islas Baleares;48;3310;69;48
0;Not specified;1778;Cádiz;11;Cádiz;47;1321;28;22
29;Entertainment;882;Barcelona;8;Barcelona;47;3;0;0
37;Tourist apartments;11470;Lisboa;132;Lisboa;45;2174;48;32
19;Travel Agency;4359;Madrid;28;Madrid;45;2621;58;56
17;Recruitment Agency;4359;Madrid;28;Madrid;44;3211;73;41
53;Outsourcing / externalization of services;11470;Lisboa;132;Lisboa;44;744;17;14
37;Tourist apartments;32641;Oporto;147;Porto;43;2958;69;49
14;Hotel Chain;29985;Mallorca;419;Mallorca;43;2306;54;34
0;Not specified;5254;Pájara;35;Las Palmas;43;673;16;14
0;Not specified;1782;Conil de la Frontera;11;Cádiz;42;875;21;18
14;Hotel Chain;29828;Playa Blanca;35;Las Palmas;42;1012;24;19
14;Hotel Chain;29784;Comporta;390;Comporta;42;350;8;8
14;Hotel Chain;1782;Conil de la Frontera;11;Cádiz;42;968;23;17
36;Rent a car;882;Barcelona;8;Barcelona;42;335;8;0
14;Hotel Chain;5702;Arona;38;Santa Cruz de Tenerife;41;1166;28;26
14;Hotel Chain;187;Calp;3;Alicante;41;1039;25;21
10;Others;29815;Calviá;7;Islas Baleares;41;1413;34;33
0;Not specified;3162;Donostia/San Sebastián;20;Guipúzcoa;41;597;15;11
20;Consultancy;4526;Málaga;29;Málaga;40;3631;91;59
0;Not specified;8116;Zaragoza;50;Zaragoza;39;535;14;0
0;Not specified;31458;Vila Nova de Gaia;387;Serzedo;39;359;9;12
10;Others;11470;Lisboa;132;Lisboa;39;2202;56;29
14;Hotel Chain;356;Roquetas de Mar;4;Almería;39;2105;54;44
14;Hotel Chain;5251;Mogán;35;Las Palmas;39;952;24;21
14;Hotel Chain;1221;Burgos;9;Burgos;39;1086;28;21
14;Hotel Chain;29687;Cala d'Or;7;Islas Baleares;39;1231;32;22
14;Hotel Chain;5266;Tías;35;Las Palmas;39;882;23;18
19;Travel Agency;882;Barcelona;8;Barcelona;38;2999;79;67
1;Independent Hotel;152;Alicante/Alacant;3;Alicante;38;3173;84;56
0;Not specified;11604;Quarteira;137;Faro;38;532;14;14
0;Not specified;29830;Lanzarote;35;Las Palmas;37;751;20;19
19;Travel Agency;11470;Lisboa;132;Lisboa;37;3100;84;68
14;Hotel Chain;4484;Benalmádena;29;Málaga;37;2573;70;48
53;Outsourcing / externalization of services;882;Barcelona;8;Barcelona;37;5986;162;159
53;Outsourcing / externalization of services;4359;Madrid;28;Madrid;36;3719;103;109
1;Independent Hotel;4513;Fuengirola;29;Málaga;36;2059;57;50
1;Independent Hotel;11548;Alcochete;135;Setúbal;36;690;19;16
1;Independent Hotel;30026;Palmanova;7;Islas Baleares;36;2814;78;52
7;Hostel / Pension;4359;Madrid;28;Madrid;35;5707;163;131
1;Independent Hotel;5697;Adeje;38;Santa Cruz de Tenerife;35;1084;31;28
0;Not specified;2067;Córdoba;14;Córdoba;35;1265;36;27
14;Hotel Chain;1799;San Roque;11;Cádiz;35;2737;78;66
14;Hotel Chain;31458;Vila Nova de Gaia;387;Serzedo;35;759;22;12
14;Hotel Chain;29883;Portocolom;7;Islas Baleares;35;1602;46;31
36;Rent a car;4359;Madrid;28;Madrid;35;332;9;7
20;Consultancy;4359;Madrid;28;Madrid;35;4359;125;87
0;Not specified;29873;Colonia de Sant Jordi;7;Islas Baleares;34;389;11;10
0;Not specified;2784;Monachil;18;Granada;33;471;14;10
1;Independent Hotel;29690;Costa Adeje;38;Santa Cruz de Tenerife;33;1071;32;24
1;Independent Hotel;29849;Puigpuñent;7;Islas Baleares;33;2340;71;57
14;Hotel Chain;29912;Maspalomas;35;Las Palmas;33;992;30;24
14;Hotel Chain;4510;Estepona;29;Málaga;33;2975;90;71
14;Hotel Chain;3162;Donostia/San Sebastián;20;Guipúzcoa;32;1206;38;28
27;Training;29812;València;46;Valencia;32;1;0;0
14;Hotel Chain;5254;Pájara;35;Las Palmas;31;1040;34;29
14;Hotel Chain;29858;Menorca;7;Islas Baleares;31;719;23;17
14;Hotel Chain;29698;Can Pastilla;7;Islas Baleares;31;1520;49;41
1;Independent Hotel;29784;Comporta;390;Comporta;31;837;27;23
0;Not specified;3260;Huelva;21;Huelva;30;864;29;29
0;Not specified;156;Altea;3;Alicante;30;513;17;12
14;Hotel Chain;29953;Caniçal;182;Madeira;30;487;16;16
14;Hotel Chain;1780;Chiclana de la Frontera;11;Cádiz;30;566;19;4
32;Restaurant Chain;11470;Lisboa;132;Lisboa;30;2703;90;56
10;Others;30258;Alcalá;333;Islas Canarias;29;460;16;12
10;Others;6155;Sevilla;41;Sevilla;29;1313;45;30
0;Not specified;29858;Menorca;7;Islas Baleares;29;492;17;12
10;Others;152;Alicante/Alacant;3;Alicante;28;1550;55;35
19;Travel Agency;837;Palma de Mallorca;7;Islas Baleares;28;411;15;4
53;Outsourcing / externalization of services;5330;Vigo;36;Pontevedra;28;1051;38;33
46;Business group;29886;Canyamel;7;Islas Baleares;27;1095;41;30
14;Hotel Chain;29897;Corralejo;35;Las Palmas;27;576;21;13
