TitleId,JobTitleName,N,P25,P50,P75,P90,Mean,IQR
591,Receptionist,1039,18.000,20.400,22.800,25.000,"19.569,28",4800
669,Waiter,982,15.600,19.200,22.800,"24.318,36","18.667,2",7200
221,Cook,894,18.000,20.640,"23.338,23",25.000,"19.420,33","5338,23"
552,Chambermaid,757,13.608,16.000,20.000,22.000,"15.983,85",6392
243,Kitchen Assistant,368,15.000,19.000,21.000,23.790,"17.235,8",6000
668,Waiter Assistant,303,14.400,18.000,20.640,"23.740,99","16.980,96",6240
494,Maintenance Technician,295,16.800,20.400,23.300,25.000,"19.758,75",6500
257,Chef de Partie,231,20.400,24.000,27.499,33.600,"22.932,48",7099
561,Housekeeping Staff,230,13.608,15.876,18.000,20.640,"15.234,85",4392
652,Head Waiter,224,21.000,25.000,28.800,31.760,"24.730,48",7800
584,Hotel Receptionist,202,15.000,"19.709,5",23.000,25.000,"18.671,62",8000
218,Chef,185,21.600,25.000,30.000,35.000,"25.524,19",8400
572,Bellboy,172,15.360,18.000,21.000,22.740,"16.977,47",5640
226,Dishwasher,144,14.400,15.800,20.640,22.000,"16.286,35",6240
551,Assistant Executive Housekeeper,144,15.876,20.200,24.000,27.600,"20.084,28",8124
254,Sous Chef,133,20.000,24.000,29.000,30.000,"23.655,1",9000
286,Rental Sales Consultant,130,16.572,18.000,18.180,19.632,"17.710,59",1608
590,Reception Assistant,127,14.510,18.000,21.000,23.000,"17.300,3",6490
589,Night Receptionist,126,18.000,21.980,24.000,27.600,"20.397,55",6000
580,Front Office Manager,124,21.000,24.000,28.000,30.000,"23.570,8",7000
489,Maintenance Manager,96,21.900,26.000,30.000,35.000,"26.549,19",8100
657,Bartender,93,18.000,21.600,24.000,"25.992,4","19.835,76",6000
113,Travel Agent,89,13.800,18.000,21.600,24.000,"17.253,57",7800
587,Night Auditor,80,20.300,23.150,26.400,29.000,"23.110,04",6100
557,Executive Housekeeper,74,21.600,24.750,27.600,29.820,"24.017,07",6000
79,Hotel Director,74,27.700,30.000,36.000,44.400,"31.818,49",8300
119,Reservation Agent,73,18.000,18.000,21.000,24.132,"18.898,53",3000
653,Host/Hostess,69,16.572,21.000,24.000,26.080,"19.461,39",7428
577,Concierge,69,10.800,20.000,23.000,25.280,"18.355,91",12.200
293,Sales Agent,63,14.184,20.000,24.000,26.320,"18.626,91",9816
664,Restaurant Section Head,63,18.000,24.000,26.000,27.600,"20.570,79",8000
650,Food and Beverage Manager,56,25.000,30.000,36.000,45.000,"31.216,07",11.000
492,Maintenance Assistant,55,16.320,20.000,22.000,24.000,"19.108,93",5680
165,Customer Service Advisor,54,22,15.600,20.750,"21.574,4","10.809,95",20.728
493,Maintenance Officer,53,19.000,20.400,24.000,"25.871,34","20.964,29",5000
661,Restaurant Manager,51,20.000,25.000,30.000,35.000,"26.243,19",10.000
10,Accounts Manager,50,21,21,22,22,"21,42",1
550,Assistant Hotel Manager,50,25.050,30.000,35.000,35.100,28.990,9950
23,Administrative,48,17.500,20.000,23.484,25.000,"19.394,73",5984
159,Tourist Animator,45,16.200,16.560,18.000,"22.855,58","17.374,7",1800
570,Assistant Head of Reception,45,20.000,21.600,25.000,29.900,"22.546,67",5000
177,GEX - Guest Experience Assistant,44,21.000,21.300,23.000,24.700,"22.190,91",2000
634,Bar Manager,44,21.200,23.500,25.000,27.600,"23.640,91",3800
630,Assistant Head Waiter,43,19.600,24.000,27.000,29.000,"21.771,83",7400
248,Pastry Chef,42,20.000,22.900,24.000,28.420,"22.938,68",4000
89,Valet Parking,42,15.825,18.000,21.000,"22.183,2","18.063,93",5175
26,Administrative Assistant,41,14.400,18.000,21.600,23.436,"17.272,73",7200
166,Customer Service Agent,38,17.100,18.000,18.000,20.370,"16.995,68",900
181,GEX - Guest Experience Coordinator,36,21.600,24.000,25.000,27.300,"23.711,11",3400
1,Accountant,36,17.800,18.000,"24.242,5",27.000,"18.789,69","6442,5"
316,Store Sales Assistant,32,15.600,18.000,18.675,20.000,"17.253,5",3075
471,Tour Guide,30,13.920,18.000,20.000,24.000,"17.426,53",6080
697,Masseur,28,14.400,16.000,22.000,22.000,16.174,7600
665,Sommelier,28,20.250,23.000,24.000,25.000,22.000,3750
647,Food and Beverage Assistant,26,4950,17.215,19.500,28.000,"15.416,15",14.550
501,Technical Services Officer,23,12.600,21.600,25.000,26.000,"18.873,59",12.400
80,Hotel Manager,22,20.000,23.278,28.000,30.000,"22.080,91",8000
192,Call Center Agent,21,16.168,18.000,21.000,24.000,"18.476,93",4832
503,Warehouse Stock Handler,21,12.000,15.480,18.000,20.000,"13.421,33",6000
49,Revenue Manager,20,17.000,26.500,40.000,40.000,"24.917,3",23.000
242,Sushiman,19,15.900,21.600,26.800,28.400,"19.086,11",10.900
597,Intern in Reception,19,3800,4200,5400,6000,"4568,42",1600
486,Facilities Technician,18,16.500,22.000,"23.003,5",25.600,"19.431,17","6503,5"
637,Barista,18,"15.473,01",19.000,23.250,"27.074,85","20.543,47","7776,99"
302,Sales Manager,18,25.000,29.000,40.000,45.000,"32.416,67",15.000
45,Chief Executive Officer (CEO),18,15.000,27.500,35.000,40.000,"28.225,56",20.000
2,Accounting Assistant,18,20.250,23.750,25.000,26.000,"22.716,67",4750
560,Cleaning Manager,17,18.528,24.000,26.399,28.200,"22.385,18",7871
593,Human Resources Intern,16,5250,5400,5400,5400,5250,150
753,Head of Technical Services,16,22.800,24.000,26.700,27.800,"24.776,41",3900
460,Airport Guide,16,20.800,20.800,21.900,22.296,21.043,1100
631,Assistant Restaurant Manager,15,17.200,21.600,24.344,30.320,"20.349,87",7144
692,Lifesaver,15,18.000,18.000,18.900,20.400,18.480,900
632,Bakery Attendant,15,15.300,18.000,22.000,23.200,"18.517,6",6700
346,Supply Department Manager,14,18.600,21.486,23.100,24.700,"21.755,14",4500
715,Spa Therapist,14,18.250,21.000,23.246,24.000,"21.020,29",4996
120,Reservations Manager,13,22.000,26.000,28.000,30.000,"24.857,69",6000
117,Travel guide,13,14.400,"19.298,4",21.000,25.040,"18.977,42",6600
532,Marketing Director,13,25.000,25.000,35.000,35.000,"27.861,54",10.000
564,Laundry Attendant,13,900,18.000,22.000,25.000,"14.742,77",21.100
628,Assistant Bar Manager,12,18.000,22.700,24.000,24.900,"19.933,33",6000
600,Revenue Agent,12,19.500,20.500,22.375,23.500,18.850,2875
251,Pizzaiolo,12,"19.675,89",24.000,24.444,25.776,"22.529,63","4768,11"
376,Hospitality Consultant,12,14.400,19.000,23.000,29.300,"20.213,33",8600
180,GEX - Guest Experience Manager,12,20.000,28.000,35.000,35.000,26.200,15.000
29,Administrative Manager,12,"1580,5",20.800,22.000,23.800,14.697,"20.419,5"
487,Gardener,12,18.000,19.600,21.150,"22.701,6","19.168,67",3150
47,Chief Operations Officer (COO),12,30.000,39.500,42.300,58.320,"39.433,33",12.300
88,Office Manager,11,21,22,"10.011,5",23.000,"6015,73","9990,5"
615,Human Resources Technician,11,21.680,25.000,26.000,28.000,"23.796,36",4320
8,Accounting Technician,11,10.511,26.000,27.000,29.000,"20.277,73",16.489
213,Event Chef,11,"18.346,2","19.986,4",24.850,28.000,"19.926,65","6503,8"
761,Technical Services Assistant,11,18.400,23.000,24.000,24.000,"19.818,18",5600
228,Executive Chef,10,36.000,43.500,52.250,55.500,42.500,16.250
127,Animation Manager,10,19.400,21.800,25.000,25.000,21.880,5600
642,Cocktail Bar Manager,10,24.000,25.500,29.250,30.000,25.800,5250
105,Business Travel Agent,10,20.000,21.000,22.500,23.300,21.300,2500
48,Operations Manager,10,20.500,30.000,39.000,42.300,29.860,18.500
731,Pool Attendant,10,18.000,19.800,"24.256,8","24.256,8","20.318,72","6256,8"
125,Animation Assistant,10,"4057,5",15.000,20.000,"25.028,4","13.549,6","15.942,5"
438,Groups & Events Sales Manager,10,24.000,30.000,30.000,30.500,28.100,6000
