CountryName,RegionName,N,P25,P50,P75,P90,Mean,IQR
Spain,Barcelona,2079,"16.902,43","21.041,92","23.744,12","26.496,81","19.785,77","6841,69"
Spain,Islas Baleares,2077,"18.198,36","22.048,7","25.171,59","28.846,95","21.664,39","6973,23"
Spain,Madrid,1235,"15.813,33","20.042,86","24.059,33","28.026,18","19.666,66",8246
Spain,Málaga,662,"17.426,74","20.786,25","26.304,2","28.676,61","20.613,13","8877,46"
Spain,Las Palmas,556,"17.873,01","21.040,78","23.555,24","25.904,29","20.164,56","5682,22"
Spain,Girona,461,"15.133,4","18.354,11","21.612,09","25.892,39","18.837,44","6478,69"
Spain,Santa Cruz de Tenerife,393,"15.298,75","20.120,63","24.571,39","26.492,96","18.685,82","9272,63"
Spain,Alicante,383,"15.521,17","18.414,8","20.870,27","27.856,56","17.926,54","5349,1"
Spain,Valencia,337,"14.587,27","17.862,83","21.442,85","24.535,49","17.060,38","6855,59"
Spain,Sevilla,259,"15.023,03","17.966,39","20.237,79","24.006,01","17.487,41","5214,76"
Spain,Tarragona,248,"14.662,05","17.897,44","21.361,23","24.903,64","18.011,17","6699,18"
Spain,Granada,114,"16.612,15","19.514,84","21.113,34","23.331,65","24.973,81","4501,19"
Spain,Cádiz,107,"16.757,84","20.208,22","22.393,75","27.009,43","20.004,13","5635,91"
Spain,Vizcaya,98,"16.338,82","20.582,23","22.704,36","26.886,49","19.798,27","6365,55"
Spain,Lleida,94,"9895,67","17.056,81","19.244,24","22.282,42","15.635,94","9348,57"
Spain,Murcia,92,"14.040,7","15.220,2","19.513,27","23.715,12","16.736,79","5472,57"
Spain,Mallorca,83,"16.771,72","22.101,11","26.609,45","34.313,39","21.977,17","9837,73"
Spain,Almería,72,"15.128,46","18.717,62","19.921,36","22.056,25","19.098,42","4792,9"
Spain,Pontevedra,71,"14.315,32","15.477,63","16.992,52","20.762,08","15.043,54","2677,2"
Spain,Islas Canarias,66,"19.479,17","22.005,02","27.287,62","29.863,17","22.928,91","7808,45"
Spain,Guipúzcoa,59,"9634,19","16.211,76","24.586,03","28.897,59","16.014,78","14.951,84"
Spain,A Coruña,59,"1373,13",12.415,"17.654,59","20.438,1","10.295,56","16.281,46"
Spain,Zaragoza,50,"13.964,88","18.328,9","20.562,25","21.476,53","16.576,6","6597,37"
Spain,Asturias,35,"14.201,39","16.478,61","16.843,7","19.552,92","15.758,79","2642,3"
Spain,Burgos,33,"17.524,66","17.936,74","19.754,11","21.019,1","18.244,75","2229,45"
Spain,Cantabria,33,"11.919,36","15.362,12","18.707,36","21.496,63","14.023,03","6787,99"
Spain,La Rioja,32,"14.571,89","16.198,26","18.171,99","19.673,18","15.858,48","3600,1"
Spain,Salamanca,29,"15.367,09","21.147,88","25.981,27","29.094,35","20.640,45","10.614,18"
Spain,Huelva,29,"16.781,7","19.752,31","22.510,97","23.495,8","18.577,65","5729,27"
Spain,Castellón,26,"15.189,06","16.567,45","19.470,03","24.044,89","19.249,22","4280,97"
Spain,Valladolid,25,"10.914,48","17.042,52","24.395,18","26.124,71","16.270,3","13.480,7"
Spain,Teruel,24,"15.329,46","17.239,48","22.935,81","30.427,67","20.991,67","7606,35"
Spain,Córdoba,24,"14.414,31","16.443,73","18.210,68","21.391,98","15.919,5","3796,37"
Spain,Huesca,24,"17.851,19","19.146,39","21.255,82","24.328,89","19.733,33","3404,63"
Spain,Navarra,23,"12.002,99","15.075,75","19.975,62","22.867,68","15.106,6","7972,63"
Spain,Toledo,20,"10.879,05","17.297,87","18.071,96","22.342,44","14.924,4","7192,9"
Spain,Cáceres,16,"16.169,61","16.975,71","18.350,25","19.129,37","17.256,25","2180,64"
Spain,Badajoz,12,"13.980,71","17.733,33",22.500,22.500,17.020,"8519,29"
Spain,Álava,12,"12.379,75",18.000,"20.018,22","20.018,22","15.126,67","7638,47"
Spain,Segovia,11,"19.065,22","20.426,22","21.144,63","21.548,33","19.989,09","2079,41"
Spain,Cataluña,9,22.000,"23.133,33","24.154,93","24.154,93","23.155,56","2154,93"
Spain,León,8,"16.133,33",18.000,"22.961,11","22.571,91",20.675,"6827,78"
Spain,San Miguel de Abona,7,18.000,18.000,19.800,19.800,19.200,1800
Spain,Guadalajara,7,14.000,14.000,"17.544,44","17.544,44","14.951,57","3544,44"
Spain,Jaén,7,"13.666,67",15.000,16.000,16.000,"15.188,57","2333,33"
Spain,Palencia,5,15.600,15.600,15.600,15.600,13.520,0
Spain,Canillo,5,14.400,14.400,14.400,14.400,14.400,0
