CountryName,RegionName,CityName,N,P25,P50,P75,P90,Mean,IQR
Spain,Barcelona,Barcelona,1666,"17.144,25","21.078,73","24.022,08","26.520,28","19.890,11","6877,82"
Spain,Madrid,Madrid,1086,"15.749,91","20.051,96","24.069,38","28.170,65","19.752,02","8319,47"
Spain,Islas Baleares,Palma de Mallorca,483,"17.831,82","21.452,12","24.984,46","28.983,2","20.808,06","7152,65"
Spain,Valencia,València,292,"14.373,34","17.915,18","21.750,35","26.116,45","16.981,34","7377,01"
Spain,Sevilla,Sevilla,212,"15.064,41","18.048,62","21.142,94","23.259,55","17.405,19","6078,54"
Spain,Málaga,Marbella,207,"19.424,69","22.837,24","24.963,75","26.503,73","20.664,92","5539,06"
Spain,Málaga,Málaga,198,"17.002,58","20.353,63","25.777,48","28.403,95","20.575,59","8774,9"
Spain,Santa Cruz de Tenerife,Adeje,148,"15.445,48","20.089,29","23.527,09","24.026,86","18.499,7","8081,61"
Spain,Islas Baleares,Ibiza,147,"21.816,22","23.540,82","25.251,77","27.836,45","22.509,08","3435,56"
Spain,Alicante,Benidorm,144,"14.617,45","18.723,88","20.646,5","25.061,91","18.132,99","6029,05"
Spain,Islas Baleares,Calviá,110,"18.594,52","22.293,48","25.861,99","27.825,15","20.944,38","7267,47"
Spain,Santa Cruz de Tenerife,Costa Adeje,105,"12.571,91","19.364,67","22.637,13","29.419,98","17.265,9","10.065,22"
Spain,Islas Baleares,Alcúdia,99,"14.996,92","18.566,49","25.093,56","30.115,31","18.483,32","10.096,64"
Spain,Alicante,Alicante/Alacant,93,"15.320,99","18.816,76","19.798,48","21.499,38","18.193,52","4477,49"
Spain,Vizcaya,Bilbao,88,"16.371,05","20.992,39","21.952,67","25.811,29","20.346,45","5581,62"
Spain,Granada,Granada,87,"15.724,68","19.604,87","22.169,08","28.351,46","26.511,89","6444,4"
Spain,Girona,Lloret de Mar,83,"15.084,23","18.762,5","22.365,71","25.942,7","18.818,5","7281,48"
Spain,Tarragona,Salou,81,"14.960,63","17.637,04","20.494,61","26.104,85","18.142,36","5533,98"
Spain,Islas Baleares,Can Picafort,77,"18.550,67","20.840,21","23.859,93","27.057,12","22.014,11","5309,26"
Spain,Islas Baleares,Santa Eulària des Riu,76,"20.736,86","24.496,55","26.421,05","32.099,7","24.616,95","5684,19"
Spain,Málaga,Fuengirola,67,"20.188,2","24.407,86","28.878,9","31.005,29","23.928,09","8690,7"
Spain,Las Palmas,San Bartolomé de Tirajana,62,"15.230,56","19.239,87","20.152,22","24.955,33","20.151,99","4921,65"
Spain,Las Palmas,Playa Blanca,62,"21.199,1","23.736,69","25.072,06","27.160,2","22.177,18","3872,96"
Spain,Barcelona,L'Hospitalet de Llobregat,62,"16.316,65","19.923,45","21.651,03","23.227,23","17.594,57","5334,38"
Spain,Mallorca,Mallorca,61,"17.751,52","21.070,29","26.512,02","33.001,3","21.718,52","8760,5"
Spain,Islas Baleares,Islas Baleares,60,"17.806,11","18.686,06","22.790,58","27.331,99","19.530,12","4984,47"
Spain,Las Palmas,Yaiza,58,"20.408,72","22.111,2","23.397,24","27.685,38","22.392,64","2988,52"
Spain,Santa Cruz de Tenerife,Santa Cruz de Tenerife,54,"16.519,04","20.543,72","22.699,71","25.947,48","19.934,53","6180,67"
Spain,Las Palmas,Las Palmas de Gran Canaria,52,"15.754,36","18.194,15","25.488,29","29.293,33","19.157,46","9733,93"
Spain,Málaga,Torremolinos,52,"11.522,59","17.132,29","20.161,36","23.192,24","17.956,92","8638,77"
Spain,Las Palmas,Maspalomas,52,"18.689,84","22.121,91","23.695,48","24.822,3","21.239,78","5005,65"
Spain,Tarragona,Tarragona,52,"14.218,54","16.406,16","22.000,39","21.536,22","18.616,06","7781,85"
Spain,Islas Baleares,Palmanova,52,"15.718,62","17.775,22","21.575,7","24.653,52","18.883,38","5857,08"
Spain,Islas Baleares,Ciutadella de Menorca,51,"19.443,82","21.991,34","24.211,73","26.713,08","21.795,68","4767,91"
Spain,Girona,Girona,49,"15.887,82","19.122,89","27.084,39","34.857,55","24.155,86","11.196,58"
Spain,Guipúzcoa,Donostia/San Sebastián,48,"11.264,93","15.714,04","23.575,87","26.461,58","15.417,33","12.310,94"
Spain,Islas Baleares,San Antonio Abad,45,"22.387,97","24.406,23","29.952,5","40.014,06","27.845,51","7564,52"
Spain,Málaga,Benalmádena,44,"16.638,98","19.576,45","21.778,62","26.475,35","19.349,77","5139,64"
Spain,Pontevedra,Vigo,43,"14.014,71","14.355,4","15.886,9","16.808,44","13.975,28","1872,2"
Spain,Zaragoza,Zaragoza,42,"11.966,39","17.921,31","20.503,88","21.199,18","16.229,29","8537,49"
Spain,Las Palmas,Mogán,41,"16.925,43","21.096,51","23.457,59","25.014,73","18.928,14","6532,17"
Spain,Murcia,La Manga,40,"13.417,15","14.665,23","18.821,83","26.550,01","16.706,6","5404,68"
Spain,A Coruña,Santiago de Compostela,40,"88,75","8366,69","13.147,97","16.460,54","7397,32","13.059,22"
Spain,Islas Baleares,Can Pastilla,40,"17.822,84","19.969,15","22.269,58","26.771,64","20.385,7","4446,74"
Spain,Las Palmas,Puerto del Carmen,39,"18.680,56","21.364,87","23.807,68","25.368,88","21.741,03","5127,12"
Spain,Islas Baleares,Cala d'Or,38,"18.283,82","21.240,37","23.583,77","31.383,88","20.803,06","5299,95"
Spain,Lleida,Lleida,37,"6454,17","14.926,15","19.042,94","20.324,86","12.983,2","12.588,77"
Spain,Islas Baleares,Portals Nous,37,"17.687,87","21.103,12","25.994,07","27.087,8","20.403,57","8306,2"
Spain,Alicante,Calp,37,"8581,69","16.983,93","19.385,94","21.803,17","14.402,7","10.804,24"
Spain,Islas Baleares,Santanyí,36,"22.302,49",25.396,"34.263,29","36.242,4","26.361,44","11.960,81"
Spain,Islas Baleares,Portocolom,35,"20.716,69","22.895,23","24.240,16","26.938,23","22.789,03","3523,47"
Spain,Málaga,Estepona,32,"20.703,03","22.383,01","27.094,36","27.857,54","24.288,75","6391,33"
Spain,Girona,Sant Feliu de Guíxols,32,"15.884,27","16.405,41","20.159,79","23.447,43","18.490,5","4275,52"
Spain,Islas Baleares,Menorca,32,"10.725,58","13.891,05","20.190,94","23.635,18","15.727,26","9465,36"
Spain,Islas Baleares,Puigpuñent,32,"20.415,54","22.593,78","23.309,58","25.592,64","22.737,5","2894,05"
Spain,Barcelona,Sabadell,31,"14.813,1","17.856,05","22.282,59","30.883,85","17.236,23","7469,5"
Spain,Barcelona,Santa Susanna,31,"15.778,97","19.288,52","31.378,05","39.531,79","23.714,26","15.599,08"
Spain,Girona,Tossa de Mar,31,"15.622,79","17.367,18","23.145,15","25.908,07","18.704,03","7522,36"
Spain,Islas Baleares,Camp de Mar,30,"11.701,87","21.150,43","25.365,75","28.416,67","19.375,13","13.663,87"
Spain,Islas Baleares,Llucmajor,30,"13.617,29","16.220,7","17.081,18","29.887,09","18.497,47","3463,9"
Spain,Almería,Roquetas de Mar,29,"12.126,69","14.612,19","17.248,44",25.200,"17.759,24","5121,75"
Spain,Las Palmas,Corralejo,28,"11.142,85","18.760,79","21.932,32","25.489,49","16.882,45","10.789,47"
Spain,Islas Baleares,Canyamel,27,"22.699,35","23.395,57","24.547,33","26.288,26","23.437,04","1847,98"
Spain,Girona,Torrent,26,"19.315,45","20.954,05",21.027,"21.574,36","20.653,85","1711,54"
Spain,Islas Canarias,Playa de Fañabé,26,"20.127,72","22.742,28","27.697,06","29.928,01","23.996,23","7569,34"
Spain,Barcelona,Calella,26,"17.370,3","19.291,45","22.927,44","25.217,2","20.644,21","5557,14"
Spain,Cádiz,El Puerto de Santa María,25,"15.712,13","20.020,53","21.341,99","21.593,52",18.864,"5629,87"
Spain,Madrid,Alcalá de Henares,25,"19.596,14","21.104,98","24.196,27","26.097,76",19.656,"4600,14"
Spain,Salamanca,Salamanca,25,"17.862,16","22.336,37",26.500,"29.098,67","21.901,96","8637,84"
Spain,Alicante,El Albir,25,"18.346,68","20.435,16","22.836,63","27.225,43","21.369,24","4489,94"
Spain,Islas Baleares,Cales de Mallorca,25,"17.550,4","26.522,48","30.982,32","33.964,4",24.928,"13.431,91"
Spain,Barcelona,Sant Cugat del Vallès,24,"13.203,58","19.042,37","23.869,44","26.246,85","19.344,83","10.665,85"
Spain,Sevilla,Aguadulce,24,"16.392,16","19.652,54","21.468,43","22.007,78",19.050,"5076,26"
Spain,Las Palmas,Jandia,24,"4642,24","18.936,89","22.494,44","23.237,67","12.131,04","17.852,21"
Spain,Tarragona,Cambrils,23,"15.915,51","17.954,62","20.633,76","22.884,37","18.333,67","4718,25"
Spain,Santa Cruz de Tenerife,Arona,22,"18.253,83","20.208,76","23.461,14",29.000,"21.009,09","5207,31"
Spain,Almería,Almería,22,"15.795,21","18.146,88",21.600,"23.656,58","17.645,45","5804,79"
Spain,Islas Baleares,Puerto de Alcudia,22,"17.378,24","20.188,55",25.767,"29.964,94","21.359,09","8388,76"
Spain,Cádiz,Cádiz,21,"13.125,35","17.375,11","21.036,32","26.435,89","17.685,78","7910,97"
Spain,Las Palmas,Fuerteventura,20,"16.691,48","21.556,52","31.820,6",33.600,"21.634,79","15.129,12"
Spain,Burgos,Burgos,20,"17.442,75","17.835,38","19.949,16","20.754,94","18.119,84","2506,41"
Spain,Córdoba,Córdoba,20,"14.539,06","15.183,81","18.120,24","20.487,78","15.911,4","3581,18"
Spain,Las Palmas,Morro Jable,20,"20.482,15","22.514,51","23.521,61","24.052,84","21.833,41","3039,46"
Spain,Lleida,Naut Aran,20,"14.304,69",14.500,"16.914,54","17.709,62",15.120,"2609,85"
Spain,Girona,Castell-Platja d'Aro,20,"18.046,68","20.067,18","21.871,73","23.795,17","20.134,94","3825,05"
Spain,Navarra,Pamplona/Iruña,20,"12.539,73","15.594,51","19.429,03","21.656,06","15.280,34","6889,31"
Spain,Islas Baleares,Colonia de Sant Jordi,20,"23.406,86","23.839,41","26.577,62","29.444,47","24.772,8","3170,76"
Spain,Girona,Castelló d'Empúries,20,"15.218,58","17.335,7","18.536,06","19.018,84",16.969,"3317,47"
Spain,Islas Baleares,Alaró,20,"18.124,32","20.327,63","21.518,58","23.409,55",18.940,"3394,27"
Spain,Santa Cruz de Tenerife,Puerto de la Cruz,19,"16.519,65","17.841,23",18.600,"25.518,07","19.037,47","2080,35"
Spain,Islas Baleares,Playas de Muro,19,"18.252,89","20.251,86","26.049,94","29.875,02","22.645,68","7797,05"
Spain,Girona,Caldes de Malavella,19,"18.451,75","20.733,46","22.207,01","27.072,92","20.573,68","3755,26"
Spain,Toledo,Toledo,18,"12.652,18","17.563,22","18.132,99","22.286,44","15.581,44","5480,81"
Spain,Barcelona,Pineda de Mar,18,"20.513,35","19.539,09","26.000,06",36.000,"23.963,89","5486,71"
Spain,Islas Baleares,Peguera,18,"18.290,67","20.624,51","23.091,99","25.726,11",21.600,"4801,32"
Spain,Girona,Estartit,18,"15.432,46","17.300,75","18.141,33","19.264,4","16.915,33","2708,87"
Spain,Girona,L'Escala,17,"7564,6","14.920,49","24.786,22",26.399,"16.236,1","17.221,62"
Spain,Barcelona,Badalona,17,"20.498,04",18.300,"21.272,34","21.665,61","16.121,78","774,3"
Spain,Pontevedra,Sanxenxo,17,"15.384,38","16.241,84","19.198,22","20.157,43","17.407,06","3813,84"
Spain,Alicante,Dehesa de Campoamor,17,"15.882,44","15.915,84","16.028,47","16.558,56","16.118,59","146,03"
Spain,Islas Baleares,Cala Sant Vicenç,17,"24.375,25","25.448,69","26.351,62","26.676,58","25.421,53","1976,37"
Spain,Barcelona,Granollers,16,"19.107,78",23.000,"23.525,81","24.704,19","21.280,5","4418,04"
Spain,Las Palmas,Pájara,16,"16.558,22","17.736,74","20.212,16","23.772,63","18.658,8","3653,93"
Spain,Islas Canarias,Tenerife,16,21.611,"24.885,69","28.336,58","29.383,54","24.145,61","6725,58"
Spain,La Rioja,Haro,16,"13.414,45",15.600,"16.425,17","17.045,27","14.927,9","3010,72"
Spain,Cantabria,Santander,16,"8489,12","14.933,33","18.480,47","19.474,02","11.622,5","9991,36"
Spain,Girona,Roses,16,"14.346,67","18.257,41","19.199,07","20.646,14","14.937,5","4852,41"
Spain,Las Palmas,Lanzarote,15,"18.279,51","19.806,54","22.910,56","23.525,87","19.634,13","4631,05"
Spain,Islas Baleares,Montuïri,15,"20.794,24","21.166,67","22.104,9","23.199,48","21.666,67","1310,66"
