CountryName,TitleId,JobTitleName,N,P25,P50,P75,P90,Mean,IQR
Spain,591,Receptionist,1039,"17.504,86","20.333,45","22.755,42","24.665,88","19.569,28","5250,55"
Spain,669,Waiter,982,"15.674,6","19.257,04","22.745,05","24.507,1","18.667,2","7070,45"
Spain,221,Cook,894,"17.894,09","20.567,51","23.269,7","25.045,56","19.420,33","5375,61"
Spain,552,Chambermaid,757,"13.566,21","16.157,89","19.814,04","22.089,44","15.983,85","6247,83"
Spain,243,Kitchen Assistant,368,"14.784,36","18.820,52","21.025,39","23.698,94","17.235,8","6241,04"
Spain,668,Waiter Assistant,303,"12.404,4","17.907,16","20.760,13","23.351,4","16.980,96","8355,73"
Spain,494,Maintenance Technician,295,"16.668,43","20.291,14","23.673,46","25.424,74","19.758,75","7005,02"
Spain,257,Chef de Partie,231,"20.009,3","23.294,94","28.149,43","33.193,72","22.932,48","8140,13"
Spain,561,Housekeeping Staff,230,"13.671,78","15.896,04","19.072,15","20.694,41","15.234,85","5400,37"
Spain,652,Head Waiter,224,"21.053,27","24.679,32","28.995,3","30.643,36","24.730,48","7942,02"
Spain,584,Hotel Receptionist,202,"15.020,56","19.462,69","23.068,9","25.077,33","18.671,62","8048,34"
Spain,218,Chef,185,"21.256,18","24.750,15","29.798,14","34.645,34","25.524,19","8541,96"
Spain,572,Bellboy,172,"14.729,47","18.207,78","21.167,61","22.821,67","16.977,47","6438,14"
Spain,226,Dishwasher,144,"13.525,61","17.292,64","20.474,93","21.941,99","16.286,35","6949,32"
Spain,551,Assistant Executive Housekeeper,144,"16.073,46","20.462,36","24.147,42","27.643,91","20.084,28","8073,97"
Spain,254,Sous Chef,133,"19.619,68","24.084,73","28.658,57","30.521,14","23.655,1","9038,88"
Spain,286,Rental Sales Consultant,130,"16.597,06","17.096,66","18.149,78","22.176,76","17.710,59","1552,72"
Spain,590,Reception Assistant,127,"14.809,16","17.857,12","21.101,81","23.106,63","17.300,3","6292,65"
Spain,589,Night Receptionist,126,"18.106,24","21.139,01","24.088,25","27.751,13","20.397,55","5982,01"
Spain,580,Front Office Manager,124,"20.610,31","23.612,97","27.931,68","29.722,33","23.570,8","7321,37"
Spain,489,Maintenance Manager,96,"21.914,22","25.897,34","30.079,19","35.585,36","26.549,19","8164,98"
Spain,657,Bartender,93,"17.506,11","22.006,61","24.245,99","25.918,75","19.835,76","6739,88"
Spain,113,Travel Agent,89,"14.114,98","17.901,72","21.642,79","23.814,4","17.253,57","7527,81"
Spain,587,Night Auditor,80,"20.374,21","23.490,79","26.816,32",28.891,"23.110,04","6442,11"
Spain,557,Executive Housekeeper,74,"20.475,66","24.617,24","27.243,57","29.718,66","24.017,07","6767,92"
Spain,79,Hotel Director,74,"28.021,09","31.279,2","36.721,68","45.004,39","31.818,49","8700,59"
Spain,119,Reservation Agent,73,"18.155,85","18.330,15","21.022,72","24.731,52","18.898,53","2866,87"
Spain,653,Host/Hostess,69,"16.362,49","20.514,14","24.049,88","25.338,21","19.461,39","7687,39"
Spain,577,Concierge,69,"13.311,52","20.835,83","23.287,91","26.003,84","18.355,91","9976,38"
Spain,293,Sales Agent,63,"14.238,55","19.091,65","24.316,26","26.557,29","18.626,91","10.077,7"
Spain,664,Restaurant Section Head,63,"18.957,16","23.352,85",26.659,"27.951,65","20.570,79","7701,83"
Spain,650,Food and Beverage Manager,56,"25.431,76","30.078,01","36.225,71","42.784,97","31.216,07","10.793,95"
Spain,492,Maintenance Assistant,55,"16.254,73","19.614,4","22.256,69","24.261,36","19.108,93","6001,96"
Spain,165,Customer Service Advisor,54,"1055,13","14.009,63","20.845,92","21.739,38","10.809,95","19.790,79"
Spain,493,Maintenance Officer,53,"19.190,09","21.073,22","24.509,59","26.925,96","20.964,29","5319,5"
Spain,661,Restaurant Manager,51,"19.839,12","26.650,35","30.350,54","30.971,39","26.243,19","10.511,43"
Spain,10,Accounts Manager,50,21,"21,42","21,91","22,13","21,42","0,91"
Spain,550,Assistant Hotel Manager,50,"23.988,06","29.826,76","35.020,46","35.846,94",28.990,"11.032,41"
Spain,23,Administrative,48,"17.058,79","19.731,43","23.512,13","25.612,85","19.394,73","6453,34"
Spain,159,Tourist Animator,45,"15.580,16","16.798,75","18.739,02","22.225,09","17.374,7","3158,87"
Spain,570,Assistant Head of Reception,45,"20.063,74","21.879,57","23.824,32","29.810,77","22.546,67","3760,59"
Spain,177,GEX - Guest Experience Assistant,44,"20.986,83","21.642,04","23.769,08","24.877,5","22.190,91","2782,25"
Spain,634,Bar Manager,44,"20.278,68","23.054,62","25.634,44","27.936,49","23.640,91","5355,76"
Spain,630,Assistant Head Waiter,43,"20.672,87","23.559,06","27.161,6","28.657,47","21.771,83","6488,73"
Spain,248,Pastry Chef,42,"19.755,8","22.497,18","24.411,59","27.745,56","22.938,68","4655,78"
Spain,89,Valet Parking,42,"15.458,2","18.218,27","20.323,27","21.964,36","18.063,93","4865,07"
Spain,26,Administrative Assistant,41,"13.032,48","18.217,87","20.379,44","23.239,14","17.272,73","7346,96"
Spain,166,Customer Service Agent,38,"16.343,83","17.720,42","19.190,78","20.567,76","16.995,68","2846,95"
Spain,181,GEX - Guest Experience Coordinator,36,"21.421,74","24.017,71","24.582,06","27.593,16","23.711,11","3160,32"
Spain,1,Accountant,36,17.902,"18.352,54","24.677,66","28.116,92","18.789,69","6775,66"
Spain,316,Store Sales Assistant,32,"16.240,17","18.040,84","18.886,47","20.022,22","17.253,5","2646,3"
