CountryName,RegionName,TitleId,JobTitleName,N,P25,P50,P75,P90,Mean,IQR
Spain,Barcelona,591,Receptionist,292,"18.079,6","21.015,99","22.857,19","23.683,07","20.174,79","4777,59"
Spain,Barcelona,669,Waiter,225,"16.249,12","20.568,84","23.082,37","24.011,36","18.599,61","6833,24"
Spain,Islas Baleares,669,Waiter,193,"19.127,87","22.914,44","24.402,15","26.130,04","21.113,2","5274,28"
Spain,Islas Baleares,552,Chambermaid,188,"13.103,87","18.080,9","21.587,88","24.328,97","16.763,54","8484,01"
Spain,Islas Baleares,221,Cook,186,"18.679,2","21.714,15","24.304,93","25.356,25","20.500,25","5625,72"
Spain,Madrid,591,Receptionist,166,"17.409,81","20.294,07","24.216,8","26.611,9","19.428,38","6806,99"
Spain,Barcelona,221,Cook,162,"18.368,84","21.744,38","23.559,61","24.427,22","19.844,94","5190,77"
Spain,Islas Baleares,591,Receptionist,144,"18.901,83","21.960,83","24.568,58","26.544,07","21.466,54","5666,75"
Spain,Madrid,669,Waiter,121,"14.583,26","18.366,57","22.023,33","24.140,72","18.049,77","7440,07"
Spain,Madrid,221,Cook,101,"17.571,84","20.042,8","23.870,34","25.511,57","20.176,33","6298,5"
Spain,Islas Baleares,257,Chef de Partie,96,"21.154,78","23.902,54","27.136,43","28.671,51","23.767,93","5981,66"
Spain,Las Palmas,552,Chambermaid,82,"15.757,93","19.217,87","22.594,74","23.528,15","17.794,03","6836,82"
Spain,Islas Baleares,652,Head Waiter,79,"22.643,67","27.028,94","30.234,33","33.684,24","26.767,09","7590,66"
Spain,Barcelona,561,Housekeeping Staff,77,"13.726,78","16.095,65","19.248,56","20.979,26","15.809,12","5521,78"
Spain,Barcelona,243,Kitchen Assistant,72,"17.140,57","19.907,74","21.244,05","24.411,97","19.126,91","4103,48"
Spain,Barcelona,552,Chambermaid,72,"13.560,68","18.262,23","20.765,87","21.204,76","16.858,31","7205,19"
Spain,Islas Baleares,494,Maintenance Technician,70,"18.231,57","22.288,53","25.442,6","26.676,09","20.492,52","7211,03"
Spain,Valencia,591,Receptionist,68,13.921,"17.177,87","19.134,5","23.705,14","16.875,47","5213,5"
Spain,Barcelona,668,Waiter Assistant,67,"12.903,45","20.060,96","21.339,9","23.436,82","17.321,03","8436,45"
