CountryName,RegionName,CityName,TitleId,JobTitleName,N,P25,P50,P75,P90,Mean,IQR
Spain,Barcelona,Barcelona,591,Receptionist,228,18.688,"21.233,99","22.961,59","23.854,4","20.373,61","4273,59"
Spain,Barcelona,Barcelona,669,Waiter,182,"17.115,84","21.213,9","23.363,16","23.966,24","19.411,67","6247,33"
Spain,Madrid,Madrid,591,Receptionist,142,"17.242,71","19.955,1","23.391,3","25.119,77","19.602,9","6148,58"
Spain,Barcelona,Barcelona,221,Cook,130,19.007,"22.013,16","23.528,98","24.391,03","19.845,14","4521,99"
Spain,Madrid,Madrid,669,Waiter,104,"14.261,86","18.208,43","22.340,33","24.216,62","18.214,98","8078,47"
Spain,Madrid,Madrid,221,Cook,76,"17.901,44","20.536,11","23.581,62","26.094,61","20.514,33","5680,18"
Spain,Barcelona,Barcelona,561,Housekeeping Staff,69,"13.585,66","16.222,5","18.864,6","20.633,83","15.992,44","5278,94"
Spain,Valencia,València,591,Receptionist,60,"12.896,99","16.437,02","18.258,08","26.400,25","16.465,53","5361,09"
Spain,Barcelona,Barcelona,243,Kitchen Assistant,56,"19.361,15","20.692,06","22.204,99","24.516,24","20.130,87","2843,84"
Spain,Barcelona,Barcelona,494,Maintenance Technician,54,"18.491,33","23.218,47","24.811,7","24.958,37","21.140,35","6320,37"
Spain,Barcelona,Barcelona,668,Waiter Assistant,54,"11.254,6","16.994,09","21.035,69","22.933,59","17.063,13","9781,09"
Spain,Barcelona,Barcelona,552,Chambermaid,53,"13.746,56","18.683,15","20.634,33","21.345,3","16.753,47","6887,77"
Spain,Islas Baleares,Palma de Mallorca,669,Waiter,52,"17.701,43","20.800,4","24.954,65","27.257,33","19.474,4","7253,23"
Spain,Madrid,Madrid,243,Kitchen Assistant,43,"13.588,18","20.183,48","22.876,62","24.047,84","18.347,49","9288,44"
Spain,Barcelona,Barcelona,572,Bellboy,41,"10.563,15","15.816,32","21.094,4","21.557,46","14.578,44","10.531,25"
Spain,Madrid,Madrid,572,Bellboy,40,"16.124,47","18.741,05","22.343,79","23.572,24","18.616,75","6219,32"
Spain,Madrid,Madrid,552,Chambermaid,38,"13.560,89","14.975,44","18.344,93","21.000,26","15.710,7","4784,04"
Spain,Islas Baleares,Palma de Mallorca,591,Receptionist,37,"17.098,73","20.721,36","25.391,21","29.987,87","21.140,38","8292,47"
Spain,Barcelona,Barcelona,584,Hotel Receptionist,37,"21.757,9","22.954,08","23.873,1","23.837,9","20.944,27","2115,2"
Spain,Barcelona,Barcelona,589,Night Receptionist,36,"18.338,46","22.252,69","23.509,65","27.479,67","21.394,53","5171,19"
Spain,Valencia,València,669,Waiter,34,"13.994,08","17.784,85","24.298,28","27.117,99","17.415,29","10.304,21"
Spain,Islas Baleares,Palma de Mallorca,221,Cook,34,"14.128,71","20.074,91","24.895,57","25.611,79","17.864,27","10.766,86"
Spain,Madrid,Madrid,668,Waiter Assistant,33,"15.361,3","18.566,17","22.409,48","24.293,03","18.193,08","7048,18"
Spain,Valencia,València,221,Cook,32,"17.383,52","18.682,53","19.993,29",20.300,"17.703,88","2609,77"
Spain,Islas Baleares,Palma de Mallorca,552,Chambermaid,31,"16.167,06","18.718,97","21.814,11","24.622,89","17.819,96","5647,06"
Spain,Madrid,Madrid,494,Maintenance Technician,30,"15.378,44","19.560,2","21.294,84","24.033,09",18.797,"5916,4"
Spain,Madrid,Madrid,590,Reception Assistant,30,"13.349,64","19.541,85","22.333,43","25.571,4","17.881,11","8983,79"
Spain,Málaga,Málaga,591,Receptionist,28,"19.010,6","21.465,65","25.295,09","29.185,8","21.981,14","6284,49"
Spain,Barcelona,Barcelona,587,Night Auditor,27,"23.156,8",25.846,29.285,"29.222,22","25.440,63","6128,2"
Spain,Sevilla,Sevilla,591,Receptionist,26,"16.704,48","17.537,54","19.280,17","24.133,33","19.238,35","2575,69"
Spain,Islas Baleares,Palma de Mallorca,652,Head Waiter,25,"23.284,29","26.093,2","29.420,19","31.717,33","26.653,12","6135,9"
Spain,Madrid,Madrid,257,Chef de Partie,25,"21.517,45","28.799,7","31.927,08","34.043,31","25.588,29","10.409,63"
Spain,Islas Baleares,Palma de Mallorca,257,Chef de Partie,24,"20.092,96","22.249,24","29.026,43","32.991,04","23.619,83","8933,47"
Spain,Barcelona,Barcelona,226,Dishwasher,24,"16.110,85","20.293,33","21.195,04",21.824,"17.368,68","5084,19"
Spain,Islas Baleares,Palma de Mallorca,494,Maintenance Technician,24,"15.980,73","22.876,45","23.494,01","25.440,74","19.811,83","7513,28"
Spain,Sevilla,Sevilla,669,Waiter,23,"14.028,62","18.010,95","20.584,63","21.354,17",15.776,"6556,01"
Spain,Barcelona,Barcelona,657,Bartender,23,"20.766,55","22.821,59","24.293,31","25.416,41","21.776,62","3526,76"
Spain,Sevilla,Sevilla,221,Cook,22,"11.062,43","13.839,82","17.362,5",18.750,"13.837,45","6300,07"
Spain,Barcelona,Barcelona,218,Chef,22,"21.731,77","28.608,24","33.021,55","37.864,5","27.809,09","11.289,78"
Spain,Santa Cruz de Tenerife,Adeje,552,Chambermaid,22,"1549,94","13.856,56","19.013,7","21.188,71","11.034,29","17.463,75"
Spain,Barcelona,Barcelona,257,Chef de Partie,21,"7401,75","24.750,64","24.319,73","32.297,59","18.196,08","16.917,98"
Spain,Vizcaya,Bilbao,591,Receptionist,21,"13.632,98","17.804,36","20.953,33","22.595,38","17.315,62","7320,35"
Spain,Islas Baleares,Alcúdia,552,Chambermaid,21,"9032,62","13.240,36","13.194,72","20.298,37",10.832,"4162,1"
Spain,Madrid,Madrid,561,Housekeeping Staff,20,"1123,83","7547,3","16.231,5","19.780,76","10.542,64","15.107,67"
Spain,Valencia,València,552,Chambermaid,20,"12.512,91","17.261,02","18.797,46","19.711,85","15.461,35","6284,55"
Spain,Málaga,Marbella,221,Cook,20,"17.244,54","22.022,81","24.569,44","25.921,27","18.173,1","7324,91"
Spain,Alicante,Benidorm,591,Receptionist,19,"15.788,66","17.759,74","18.186,54","18.846,87","17.299,82","2397,88"
Spain,Madrid,Madrid,584,Hotel Receptionist,19,"14.959,64","18.411,54","22.993,19","25.495,47","19.368,42","8033,55"
Spain,Madrid,Madrid,113,Travel Agent,19,"9890,06","19.215,45","21.628,48","23.306,15","16.016,47","11.738,42"
Spain,Madrid,Madrid,589,Night Receptionist,19,"16.670,32","21.244,13","25.185,31","29.356,44","21.448,32",8515
Spain,Barcelona,Barcelona,113,Travel Agent,18,"17.897,22","20.443,06","21.719,73","24.662,5","20.983,33","3822,5"
Spain,Barcelona,Barcelona,652,Head Waiter,18,"24.461,84","25.809,04","27.797,52","29.486,77","26.509,11","3335,68"
Spain,Santa Cruz de Tenerife,Adeje,177,GEX - Guest Experience Assistant,18,"20.643,55","20.907,65","22.988,22","24.793,42",22.000,"2344,67"
Spain,Madrid,Madrid,489,Maintenance Manager,17,"24.014,19","25.065,38","31.135,89","35.432,25","26.755,78","7121,7"
Spain,Madrid,Madrid,551,Assistant Executive Housekeeper,17,"17.103,51","20.963,58","27.786,07","28.427,74","21.401,18","10.682,56"
Spain,Santa Cruz de Tenerife,Costa Adeje,243,Kitchen Assistant,17,"23,33","968,59","14.178,43","18.625,14","6701,76","14.155,1"
Spain,Valencia,València,494,Maintenance Technician,17,"14.602,82","15.651,95","17.916,16","20.875,22","17.047,06","3313,34"
Spain,Barcelona,Barcelona,577,Concierge,17,"10.873,07","10.941,85","15.022,78","19.899,68","13.282,35","4149,71"
Spain,Islas Baleares,Llucmajor,552,Chambermaid,17,"13.937,55","15.426,97","15.943,07","16.459,1","13.819,06","2005,52"
Spain,Málaga,Málaga,669,Waiter,17,"15.658,58","19.733,33","23.167,12","25.049,92","19.694,12","7508,54"
Spain,Málaga,Marbella,669,Waiter,17,"13.932,34","20.582,52","25.822,34","26.809,41","16.815,41",11.890
Spain,Barcelona,Barcelona,1,Accountant,17,"18.071,18","20.112,11","22.980,55",25.000,"18.883,29","4909,37"
Spain,Barcelona,Barcelona,580,Front Office Manager,16,"20.193,83","23.905,25","26.835,56","28.311,4",23.215,"6641,73"
Spain,Barcelona,Barcelona,653,Host/Hostess,16,"18.469,39",22.960,"24.066,89","24.638,85","19.955,13","5597,5"
Spain,Málaga,Marbella,552,Chambermaid,16,"19.112,81","21.218,8","23.777,68",24.250,20.350,"4664,87"
Spain,Madrid,Madrid,657,Bartender,15,"11.940,53","19.086,96","23.708,95","25.845,09","17.759,8","11.768,42"
Spain,Alicante,Alicante/Alacant,584,Hotel Receptionist,15,"10.814,39","11.255,16",12.760,"16.448,43","12.610,13","1945,61"
