FieldName,N,P25,P50,P75,P90,Mean,IQR
Hotel Chain,4942,"17.485,64","20.752,24","24.012,08","26.771,53","20.036,43","6526,43"
Independent Hotel,1697,"18.044,1","21.619,05","24.544,66","29.387,92","21.318,05","6500,56"
Restaurant,573,"17.286,88","20.298,41","24.342,97","29.246,24","20.508,44","7056,09"
Recruitment Agency,481,"13.887,19","15.797,35","25.116,73","32.274,19","18.069,37","11.229,54"
Not specified,382,"9528,36","19.514,2","20.612,34","24.024,48","16.311,58","11.083,98"
Restaurant Chain,338,"15.192,06","19.742,22","25.056,41","28.955,93","18.639,96","9864,34"
Rent a car,253,"7461,61","16.946,88","18.128,35","22.181,65","13.168,89","10.666,74"
Travel Agency,227,"17.301,55","20.033,09","21.556,8","24.393,38","18.639,87","4255,26"
Tourist apartments,203,"15.342,61","18.788,36","22.747,02","28.376,97","20.345,65","7404,41"
Outsourcing / externalization of services,188,"13.599,5","13.642,07","15.693,03","17.300,65","13.357,5","2093,53"
Others,127,"16.089,65","18.104,44","22.563,74","27.940,13","19.216,59","6474,09"
Campsite,113,"15.562,27","17.937,24","20.094,18","30.288,24","20.188,48","4531,9"
Business group,106,"15.805,42","20.419,39","24.346,37","28.593,93","19.750,87","8540,95"
Hostel / Pension,56,"13.513,04","17.317,39","20.900,3","22.374,37","17.055,51","7387,26"
Active Turism,49,"15.848,96","20.547,59","22.466,25","25.396,95","18.435,54","6617,29"
Bar,48,"13.625,32","16.361,53","21.293,83","25.295,81","16.562,64","7668,51"
Cleaning and maintenance,44,"13.156,77","15.075,58","19.984,78","24.134,66","16.838,73",6828
Catering,33,"20.559,31","24.320,41","23.135,41","110.022,34","45.104,24","2576,1"
New Technologies/ Internet,31,"18.191,3","19.646,87","23.322,49","28.941,02","20.336,77","5131,19"
Tour Operators,27,"18.115,11","21.238,19","24.206,87","26.635,53","21.388,89","6091,76"
Spa,25,"16.390,13","18.687,46","20.123,83","23.970,82","19.555,84","3733,7"
Transport,22,"16.491,22","19.269,15","21.299,67","24.947,86","19.377,45","4808,45"
Tour guide,21,"11.792,82","14.779,66","22.148,8","26.488,33","17.565,45","10.355,98"
Entertainment,19,14.181,18.309,25.480,"34.717,34","22.483,82",11.299
Consultancy,19,"13.592,6","17.366,09","25.436,26","30.443,47","18.576,11","11.843,67"
Rural Tourism / Agritourism / Hotel Rural,16,"12.286,22","17.611,95","23.733,33","27.439,1",18.307,"11.447,11"
Marketing agency,12,"7233,33",15.440,"18.668,19","21.357,08",13.199,"11.434,86"
Collective catering,11,"15.478,95","19.005,38","19.455,2",19.374,"19.525,09","3976,25"
Golf Courses,10,"18.031,58","19.838,89","20.509,9","20.388,89","19.660,8","2478,32"
Tourism Agency,10,9600,"11.535,19","17.202,93","17.277,86",16.640,"7602,93"
