AreaName,N,P25,P50,P75,P90,Mean,IQR
Kitchen,2101,"17.820,26","20.707,52","24.120,82","28.124,18","20.275,48","6300,56"
Reception,2035,"17.228,49","20.436,77","22.998,29","25.876,34","19.557,9","5769,8"
Waiting staff,2002,"16.862,15","20.417,49","24.069,28","27.621,97","19.972,17","7207,13"
Housekeeping,1252,"14.106,48","16.981,47","20.827,64","24.123,82","16.930,82","6721,16"
Maintenance,613,"17.560,03","21.254,79","24.488,3","27.130,74","20.702,84","6928,27"
Sales,360,"16.748,03","18.645,62","23.362,49","30.174,85","20.299,64","6614,46"
Administration and finance,322,"2085,74",18.061,"23.986,97","28.233,73","15.500,23","21.901,23"
Customer Service,249,"16.114,22","19.568,7","22.544,58",25.042,"18.220,72","6430,35"
Management,225,"23.110,54","29.379,19","33.842,86","37.807,21","28.339,63","10.732,32"
Travel agency,125,"14.209,82","18.775,62","21.860,61","24.368,01","17.824,24","7650,79"
Reservations,106,"10.609,67","18.987,61","21.892,83","26.037,52","17.165,5","11.283,16"
"Animation, Entertainment and Leisure",103,"15.353,65","18.411,67","21.411,47","23.864,67","18.145,41","6057,82"
"Purchasing, Logistics and Operations",101,"18.630,4","21.365,09","27.114,67","37.797,3","23.090,91","8484,27"
Health and Wellness,95,"15.481,34","18.468,09","22.316,72","26.374,35","19.257,28","6835,38"
Marketing & Public Relations,84,"15.942,26","24.269,15","29.614,53","33.440,17","21.892,11","13.672,27"
Human Resources,79,"6141,17","21.149,58","25.843,84","28.532,95","18.270,96","19.702,67"
Tour guide,72,"16.473,94","19.262,38","20.842,28","23.466,85","18.829,53","4368,35"
Events,57,"18.423,44","22.321,25","29.734,64","39.863,96","28.883,39","11.311,2"
Transportation,44,"19.161,29","20.935,98","23.766,88","30.914,27","21.763,91","4605,59"
Technology,42,"19.661,96","22.772,88","26.000,68","29.884,68","23.061,9","6338,73"
Security,32,"17.107,59","18.526,62","21.597,8","23.761,18","19.330,11","4490,21"
Consultancy,20,"14.691,24","17.699,04","21.667,91","24.272,19",17.488,"6976,68"
Quality,15,"20.466,67","21.073,87","25.587,5","46.201,5","40.193,33","5120,83"
