Rank,TitleId,JobTitleName,N,P25,P50,P75,P90,Mean,IQR
1,228,Executive Chef,10,36.000,43.500,52.250,55.500,42.500,16.250
2,47,Chief Operations Officer (COO),12,30.000,39.500,42.300,58.320,"39.433,33",12.300
3,79,Hotel Director,74,27.700,30.000,36.000,44.400,"31.818,49",8300
4,650,Food and Beverage Manager,56,25.000,30.000,36.000,45.000,"31.216,07",11.000
5,550,Assistant Hotel Manager,50,25.050,30.000,35.000,35.100,28.990,9950
6,48,Operations Manager,10,20.500,30.000,39.000,42.300,29.860,18.500
7,438,Groups & Events Sales Manager,10,24.000,30.000,30.000,30.500,28.100,6000
8,302,Sales Manager,18,25.000,29.000,40.000,45.000,"32.416,67",15.000
9,180,GEX - Guest Experience Manager,12,20.000,28.000,35.000,35.000,26.200,15.000
10,45,Chief Executive Officer (CEO),18,15.000,27.500,35.000,40.000,"28.225,56",20.000
